GENDER,AGE_GRP,MARR_STTS,JOB_NM,INCOME,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,MONTH,SEASON,HOW_LONG,TRAVELER_ID,cluster,cluster_name
여,40,2,2,3,6,1,경기도,제주,자녀 동반 여행,7,3,6,summer,3,h000781,7,패밀리 무드 ON 스탠다드러
남,20,1,12,1,1,1,서울특별시,제주,2인 여행(가족 외),7,1,7,summer,3,h002209,6,뉴트럴바이브 듀오 스테이러
여,20,1,12,1,1,1,충청북도,제주,2인 여행(가족 외),3,1,7,summer,4,h001961,6,뉴트럴바이브 듀오 스테이러
여,40,1,2,5,6,5,강원도,제주,부모 동반 여행,2,3,6,summer,5,h001167,2,탐험 ON한 듀오 트래블러
남,40,1,8,4,6,1,서울특별시,제주,3인 이상 여행(가족 외),3,2,6,summer,3,h001026,2,탐험 ON한 듀오 트래블러
여,40,1,2,10,3,7,경기도,제주,3인 이상 여행(가족 외),3,2,7,summer,3,h001799,5,차분템포 자연수집 패밀리
여,30,2,2,4,1,4,강원도,제주,자녀 동반 여행,3,2,7,summer,5,h001919,7,패밀리 무드 ON 스탠다드러
여,20,1,3,2,2,2,서울특별시,제주,나홀로 여행,1,0,7,summer,3,h001396,6,뉴트럴바이브 듀오 스테이러
여,40,2,2,4,4,2,경기도,제주,자녀 동반 여행,3,2,6,summer,3,h000825,7,패밀리 무드 ON 스탠다드러
여,40,1,4,3,4,4,서울특별시,제주,3인 이상 여행(가족 외),3,2,5,spring,3,h000121,7,패밀리 무드 ON 스탠다드러
남,20,1,13,1,3,5,전라북도,제주,2인 여행(가족 외),3,1,7,summer,4,h002100,6,뉴트럴바이브 듀오 스테이러
남,40,2,2,4,2,2,서울특별시,제주,2인 여행(가족 외),1,1,6,summer,4,h001075,4,느슨하게 떠나는 듀오 무드러
남,50,2,2,3,1,2,경기도,제주,자녀 동반 여행,7,2,7,summer,5,h001767,7,패밀리 무드 ON 스탠다드러
남,30,1,9,4,1,4,경상북도,제주,2인 여행(가족 외),3,1,7,summer,4,h001985,4,느슨하게 떠나는 듀오 무드러
여,40,1,3,3,1,4,서울특별시,제주,3대 동반 여행(친척 포함),2,16,6,summer,4,h001299,0,자연에 진심인 힐링패밀리
여,40,4,2,4,2,6,제주특별자치도,제주,2인 여행(가족 외),3,1,6,summer,2,h000580,1,자연집중 번개여행 패밀리
여,20,1,13,1,4,1,경상남도,제주,3인 이상 여행(가족 외),2,2,6,summer,4,h001023,6,뉴트럴바이브 듀오 스테이러
여,40,2,11,1,3,4,광주광역시,제주,자녀 동반 여행,7,2,6,summer,3,h001198,7,패밀리 무드 ON 스탠다드러
남,50,2,3,6,2,4,경상북도,제주,3인 이상 여행(가족 외),2,2,8,summer,5,h002203,5,차분템포 자연수집 패밀리
여,40,2,3,3,3,2,경상남도,제주,자녀 동반 여행,7,2,6,summer,3,h000773,7,패밀리 무드 ON 스탠다드러
여,30,1,12,1,6,2,대구광역시,제주,2인 여행(가족 외),3,1,8,summer,3,h002095,2,탐험 ON한 듀오 트래블러
여,20,1,12,2,1,2,인천광역시,제주,나홀로 여행,1,0,7,summer,3,h001505,6,뉴트럴바이브 듀오 스테이러
여,20,1,4,2,5,2,경기도,제주,나홀로 여행,4,0,7,summer,3,h001904,6,뉴트럴바이브 듀오 스테이러
여,50,2,11,1,6,4,광주광역시,제주,자녀 동반 여행,1,4,6,summer,3,h000832,7,패밀리 무드 ON 스탠다드러
여,50,2,11,1,5,7,경상남도,제주,2인 여행(가족 외),2,1,7,summer,4,h001903,6,뉴트럴바이브 듀오 스테이러
여,30,1,4,2,3,5,인천광역시,제주,2인 여행(가족 외),1,1,6,summer,4,h000703,6,뉴트럴바이브 듀오 스테이러
여,20,1,3,4,1,2,서울특별시,제주,나홀로 여행,7,0,7,summer,3,h002018,4,느슨하게 떠나는 듀오 무드러
여,50,2,4,2,6,3,인천광역시,제주,3대 동반 여행(친척 포함),3,7,6,summer,3,h001041,0,자연에 진심인 힐링패밀리
남,40,2,2,7,2,2,인천광역시,제주,자녀 동반 여행,6,3,6,summer,4,h000909,5,차분템포 자연수집 패밀리
여,20,1,2,3,10,2,서울특별시,제주,나홀로 여행,7,0,6,summer,3,h001491,2,탐험 ON한 듀오 트래블러
남,40,2,2,3,1,2,강원도,제주,3인 이상 여행(가족 외),9,2,5,spring,3,h000107,7,패밀리 무드 ON 스탠다드러
여,20,1,12,2,1,5,경기도,제주,2인 여행(가족 외),2,1,7,summer,3,h002107,6,뉴트럴바이브 듀오 스테이러
여,30,1,4,3,5,5,부산광역시,제주,2인 여행(가족 외),1,1,7,summer,3,h001933,4,느슨하게 떠나는 듀오 무드러
여,40,2,4,2,1,3,서울특별시,제주,자녀 동반 여행,3,3,5,spring,3,h000010,7,패밀리 무드 ON 스탠다드러
여,20,1,2,4,1,7,서울특별시,제주,나홀로 여행,1,0,6,summer,3,h001139,4,느슨하게 떠나는 듀오 무드러
여,30,2,3,4,4,1,강원도,제주,2인 가족 여행,10,1,6,summer,4,h001188,4,느슨하게 떠나는 듀오 무드러
여,20,1,4,4,4,1,광주광역시,제주,2인 여행(가족 외),2,1,6,summer,4,h001148,4,느슨하게 떠나는 듀오 무드러
남,20,1,4,3,4,5,서울특별시,제주,2인 여행(가족 외),2,1,6,summer,3,h000458,6,뉴트럴바이브 듀오 스테이러
여,40,2,1,10,2,1,인천광역시,제주,3대 동반 여행(친척 포함),1,4,7,summer,4,h002254,5,차분템포 자연수집 패밀리
여,40,1,2,4,4,3,대구광역시,제주,2인 여행(가족 외),7,1,6,summer,3,h000523,4,느슨하게 떠나는 듀오 무드러
여,30,2,11,1,1,2,제주특별자치도,제주,자녀 동반 여행,3,3,6,summer,3,h000319,7,패밀리 무드 ON 스탠다드러
여,30,1,3,4,1,3,서울특별시,제주,2인 여행(가족 외),1,1,6,summer,4,h001676,4,느슨하게 떠나는 듀오 무드러
여,20,1,12,3,10,1,경기도,제주,2인 여행(가족 외),1,1,7,summer,3,h001898,2,탐험 ON한 듀오 트래블러
여,60,3,11,4,2,1,서울특별시,제주,3인 이상 여행(가족 외),3,5,6,summer,4,h001024,0,자연에 진심인 힐링패밀리
여,40,1,3,5,4,6,인천광역시,제주,2인 여행(가족 외),3,1,7,summer,3,h001784,4,느슨하게 떠나는 듀오 무드러
남,20,1,12,2,1,4,서울특별시,제주,2인 여행(가족 외),1,1,7,summer,3,h000725,6,뉴트럴바이브 듀오 스테이러
여,40,1,3,1,3,1,인천광역시,제주,3인 이상 여행(가족 외),2,3,6,summer,3,h001157,7,패밀리 무드 ON 스탠다드러
여,20,1,12,2,2,2,서울특별시,제주,나홀로 여행,2,0,7,summer,4,h001771,6,뉴트럴바이브 듀오 스테이러
