,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PHOTO_URL,PLACE_URL,PLACE_CAT
0,0,0,0,h000319_60395,126.5686446,33.2525866,2023-06-01 14:54:00,h_h000319,1,제주특별자치도 서귀포시 동홍동 443-13,제주특별자치도,서귀포시,동홍동,서귀포이고집,https://lh3.googleusercontent.com/place-photos/AEkURDyBBBElmugbSsK8Ux6H4lC2l0cRpIsUIgjwk5wjieFmNZXYo2Qv02Yzl0dA6n3AgpszPFFVdY8LM2eEqwDIz2ayXI1OhhdsNN3MS8_Zh55b1fCbX9uzvw3xrRumh9d36HUd1JOu2ie5bgj9Ko0=s4800-w4032-h2268,http://place.map.kakao.com/19175197,음식점
1,1,1,1,h000319_60395,126.4972177,33.2884265,2023-06-01 16:45:00,h_h000319,1,제주특별자치도 서귀포시 산록남로 1966-34,제주특별자치도,서귀포시,,아이브리조트,https://lh3.googleusercontent.com/place-photos/AEkURDzfmkl9ib87zqBW9RLKXAkCEScCd9XA4ISkTwu6itoi-TVs7fndnMe9FTWC0CqG5Lk_TtWC_JGOLHqC89BZ_gCrcxkFVNof_KTlDDcZj_1WYl5z8QZACzvOL2ixmdOFKyzZ1QoTD32O_vSgaw=s4800-w4608-h2592,http://place.map.kakao.com/19942592,숙박
2,2,2,3,h000319_60395,126.4786606,33.2359913,2023-06-01 19:58:00,h_h000319,1,제주특별자치도 서귀포시 강정동 5652,제주특별자치도,서귀포시,강정동,야미부대찌개 강정점,https://lh3.googleusercontent.com/places/ANXAkqFzsx5njjH3weEQNKSV8RndeoarXQWXvmDgnyLokHCrTH94nqU4B9_cA31amrVfPxxOU4ESmbAwfzLZD_uFmHsAxmNolvr0aP8=s4800-w1440-h809,http://place.map.kakao.com/151598528,음식점
3,3,3,4,h000319_60395,126.3354838,33.2521002,2023-06-02 22:30:00,h_h000319,2,제주특별자치도 서귀포시 안덕면 화순리 1253-1,제주특별자치도,서귀포시,안덕면 화순리,빌레왓,https://lh3.googleusercontent.com/place-photos/AEkURDx_TCmkw2YHdR7SV_oOgck0TF9Ayk2eOXxI58NdxpOOL_c7GCSoZmjll1buNB67ALzhms3jw91oZAOCngy3fjyE6lablALQGcsFrDfHyjWLaoZJKMyasBlHVm2KbAj8tzqi0brpr8f-WPiU9g=s4800-w4000-h2252,http://place.map.kakao.com/27482648,음식점
4,4,4,5,h000319_60395,126.5535879,33.2453685,2023-06-03 12:20:00,h_h000319,3,제주특별자치도 서귀포시 서홍동 587-1,제주특별자치도,서귀포시,서홍동,제주처럼,https://lh3.googleusercontent.com/place-photos/AEkURDwStpdaV-QUeqjhRehZVGTSTHyJbQ8hq9A0xoQo7YrySKMCXXeBnQ-gH9Lo2mLw242mBa37032kfvCAGO4DuszjRYBDoO3T2dB6iF_G9qhR_nTG3_Ubu8O6aupgJkrygI4_qF9TMkX5WbJh=s4800-w4000-h3000,http://place.map.kakao.com/1147371063,카페
5,5,5,6,h000319_60395,126.3150624,33.3049202,2023-06-03 13:34:00,h_h000319,3,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,제주특별자치도,서귀포시,안덕면,신화테마파크,https://lh3.googleusercontent.com/places/ANXAkqGmsyv3RJmBbN6DKVVX1ZAKHtUWH9BZpxU7EKLfbb-yR301jIgW9Ne3nug6b5fMS5BnKnc9uYTsqdDUL0wpkLm8ZI6emzIUZ3U=s4800-w4800-h3200,http://place.map.kakao.com/1214707005,관광명소
6,6,6,7,h000319_60395,126.3146687,33.3061858,2023-06-03 13:47:00,h_h000319,3,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,제주특별자치도,서귀포시,안덕면,신화워터파크,https://lh3.googleusercontent.com/place-photos/AEkURDxG2vKjqLfTkUtN88NyYFLrM3CqKtsH5WeKXMFGh2xuYnXZZCUpRmvnq670SM4p-kNJr95gNGr0vjou-1LXKg_-l9te5DgZi_ksnJp-zCO206RamRLcnW6esBRxh-I8_kEiB27fTrf-r3bWx9I=s4800-w4032-h2268,http://place.map.kakao.com/1870273669,관광명소
7,7,7,8,h000319_60395,126.3130218,33.3052071,2023-06-03 14:37:00,h_h000319,3,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,제주특별자치도,서귀포시,안덕면,모모쥬동물원,https://lh3.googleusercontent.com/places/ANXAkqH3p0BNGdFNI9UmTtqxGxtmgP_KrP1CU1NKNEQQ8KuDh_z7ZKJkk6KbOb2ym-0s3HMouZZHKysvgKPm1RsN3XNG8Y_ANaKDYVc=s4800-w994-h994,http://place.map.kakao.com/616836970,관광명소
8,8,8,9,h000319_60395,126.3142968,33.3054721,2023-06-03 18:03:00,h_h000319,3,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,제주특별자치도,서귀포시,안덕면,제주신화월드 윙클스 피자리아,https://lh3.googleusercontent.com/places/ANXAkqEhEUlmqC8kbtUvkcjFcsovQ2lP35hGq6GHMQsALajI8VhEn-sNb7eInJysgl_MfkSdx03VXMCOXU_-NW56WFPInFAaiUf6qkQ=s4800-w1140-h684,http://place.map.kakao.com/498514976,음식점
9,9,9,10,h000319_60395,126.235599,33.3899904,2023-06-03 19:42:00,h_h000319,3,제주특별자치도 제주시 한림읍 금능리 2036-3,제주특별자치도,제주시,한림읍 금능리,금능해수욕장,https://lh3.googleusercontent.com/place-photos/AEkURDzC4dTWLCa2RYg66hYkh7KCy-3qn9AG1SMzMmQ0YyHaqUA2FiZtT0F3HQVEq322QWFG6SFEpPD9Yid6hVhjl-Gd-KD3Vt3eGxeBGoTvztZv4rAnB6RGfg2aOgzJ9H0BrAocH89Yg4jiH6Q=s4800-w4032-h3024,http://place.map.kakao.com/13723603,관광명소
