,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT
0,0,0,h003849_78898,126.4890783,33.5021063,2023-08-22 21:09:00,h_h003849,1,제주특별자치도 제주시 도두이동 390-12,제주특별자치도,제주시,도두이동,컴포즈커피 제주공항렌트카점,http://place.map.kakao.com/762756110,카페
1,1,1,h003849_78898,126.4748114,33.4902782,2023-08-22 21:59:00,h_h003849,1,제주특별자치도 제주시 월랑로 58,제주특별자치도,제주시,,화산양꼬치 제주노형3호점,http://place.map.kakao.com/2078943218,음식점
2,2,2,h003849_78898,126.4742121,33.4909348,2023-08-22 22:19:00,h_h003849,1,제주특별자치도 제주시 월랑로 68,제주특별자치도,제주시,,모이세해장국 노형점,http://place.map.kakao.com/27461642,음식점
3,3,3,h003849_78898,126.4719925,33.4905844,2023-08-22 22:31:00,h_h003849,1,제주특별자치도 제주시 노형동 2712-1,제주특별자치도,제주시,노형동,국빈대반점,http://place.map.kakao.com/792873470,음식점
4,4,5,h003849_78898,126.4879396,33.234076,2023-08-23 12:19:00,h_h003849,2,제주특별자치도 서귀포시 강정동 2639-7,제주특별자치도,서귀포시,강정동,영육일삼,http://place.map.kakao.com/691075000,음식점
5,5,6,h003849_78898,126.415051,33.2448808,2023-08-23 14:11:00,h_h003849,2,제주특별자치도 서귀포시 중문관광로 154-17,제주특별자치도,서귀포시,,카오카오베이커리,http://place.map.kakao.com/21497380,음식점
6,6,7,h003849_78898,126.5092817,33.2518972,2023-08-23 21:21:00,h_h003849,2,제주특별자치도 서귀포시 법환동 757,제주특별자치도,서귀포시,법환동,세이모키친,http://place.map.kakao.com/1617308179,음식점
7,7,8,h003849_78898,126.5101298,33.2517618,2023-08-24 13:37:00,h_h003849,3,제주특별자치도 서귀포시 김정문화로41번길 10-8,제주특별자치도,서귀포시,,정육도 제주신서귀포점,http://place.map.kakao.com/190472783,음식점
8,8,9,h003849_78898,126.4170595,33.2468881,2023-08-24 18:21:00,h_h003849,3,제주특별자치도 서귀포시 색달동 2947-1,제주특별자치도,서귀포시,색달동,중문관광단지 별내린전망대,http://place.map.kakao.com/17808879,관광명소
9,9,10,h003849_78898,126.4072584,33.2582624,2023-08-24 19:38:00,h_h003849,3,제주특별자치도 서귀포시 색달동 2156-4,제주특별자치도,서귀포시,색달동,중문미향해장국 본점since2010,http://place.map.kakao.com/26204566,음식점
10,10,11,h003849_78898,126.4312891,33.2508443,2023-08-24 19:55:00,h_h003849,3,제주특별자치도 서귀포시 중문동 1925,제주특별자치도,서귀포시,중문동,은희네해장국 중문점,http://place.map.kakao.com/995569353,음식점
11,11,12,h003849_78898,126.506261,33.2534095,2023-08-24 22:00:00,h_h003849,3,제주특별자치도 서귀포시 강정동 167-6,제주특별자치도,서귀포시,강정동,문치비 서귀포신시가지점,http://place.map.kakao.com/26397051,음식점
12,12,13,h003849_78898,126.5071943,33.2529241,2023-08-24 22:53:00,h_h003849,3,제주특별자치도 서귀포시 신서로48번길 20-9,제주특별자치도,서귀포시,,99미술관,http://place.map.kakao.com/1118154543,문화시설
13,13,14,h003849_78898,126.510432,33.2520125,2023-08-25 10:54:00,h_h003849,4,제주특별자치도 서귀포시 법환동 757,제주특별자치도,서귀포시,법환동,정이가네 본점,http://place.map.kakao.com/889033877,음식점
14,14,15,h003849_78898,126.509977,33.2495236,2023-08-25 11:05:00,h_h003849,4,제주특별자치도 서귀포시 법환동 753,제주특별자치도,서귀포시,법환동,BBQ 제주서귀포월드컵점,http://place.map.kakao.com/1747799050,음식점
15,15,16,h003849_78898,126.5181064,33.2413815,2023-08-25 14:07:00,h_h003849,4,제주특별자치도 서귀포시 법환동 132-5,제주특별자치도,서귀포시,법환동,오늘의바다,http://place.map.kakao.com/1131993961,카페
16,16,17,h003849_78898,126.4233116,33.2526574,2023-08-25 15:26:00,h_h003849,4,제주특별자치도 서귀포시 중문동 2108-2,제주특별자치도,서귀포시,중문동,중문불광회센타,http://place.map.kakao.com/1672682451,음식점
17,17,18,h003849_78898,126.2136185,33.3752905,2023-08-25 18:03:00,h_h003849,4,제주특별자치도 제주시 한림읍 월령리 359-7,제주특별자치도,제주시,한림읍 월령리,블루모먼트,http://place.map.kakao.com/60300127,숙박
18,18,19,h003849_78898,126.4242357,33.2522266,2023-08-25 22:36:00,h_h003849,4,제주특별자치도 서귀포시 천제연로185번길 3-1,제주특별자치도,서귀포시,,우정회센타 중문점,http://place.map.kakao.com/373819004,음식점
19,19,20,h003849_78898,126.4245191,33.2516225,2023-08-25 22:57:00,h_h003849,4,제주특별자치도 서귀포시 천제연로188번길 2,제주특별자치도,서귀포시,,중문수두리보말칼국수,http://place.map.kakao.com/1148098112,음식점
20,20,21,h003849_78898,126.4247847,33.2509222,2023-08-26 05:52:00,h_h003849,5,제주특별자치도 서귀포시 중문상로 27,제주특별자치도,서귀포시,,중문바다향,http://place.map.kakao.com/1019579593,음식점
21,21,22,h003849_78898,126.4248473,33.2504907,2023-08-26 22:30:00,h_h003849,5,제주특별자치도 서귀포시 중문동 2026-2,제주특별자치도,서귀포시,중문동,제주한라국수,http://place.map.kakao.com/27447640,음식점
22,22,23,h003849_78898,126.4269151,33.2545289,2023-08-27 10:36:00,h_h003849,6,제주특별자치도 서귀포시 중문동 1682-3,제주특별자치도,서귀포시,중문동,쿰다펍,http://place.map.kakao.com/1460390092,음식점
23,23,24,h003849_78898,126.4305177,33.2478629,2023-08-27 11:15:00,h_h003849,6,제주특별자치도 서귀포시 중문동 2451,제주특별자치도,서귀포시,중문동,중문숙성돈가,http://place.map.kakao.com/381103648,음식점
24,24,25,h003849_78898,126.472346,33.5093015,2023-08-27 14:13:00,h_h003849,6,제주특별자치도 제주시 도두일동 1734-1,제주특별자치도,제주시,도두일동,정돼지식당 제주공항점,http://place.map.kakao.com/140222344,음식점
25,25,26,h003849_78898,126.4665613,33.504436,2023-08-27 14:59:00,h_h003849,6,제주특별자치도 제주시 도두일동 2634,제주특별자치도,제주시,도두일동,춘월맛집,http://place.map.kakao.com/1923649936,음식점
26,26,27,h003849_78898,126.4932524,33.5196691,2023-08-27 15:19:00,h_h003849,6,제주특별자치도 제주시 용담삼동 2292-4,제주특별자치도,제주시,용담삼동,올레길 17코스(광령-제주원도심 올레),http://place.map.kakao.com/12753473,관광명소
27,27,28,h003849_78898,126.5085862,33.5162386,2023-08-27 16:58:00,h_h003849,6,제주특별자치도 제주시 용담삼동 503-33,제주특별자치도,제주시,용담삼동,너럭,http://place.map.kakao.com/936088487,음식점
28,28,29,h003849_78898,126.4863022,33.5030397,2023-08-27 17:18:00,h_h003849,6,제주특별자치도 제주시 도두이동 414-1,제주특별자치도,제주시,도두이동,도도리고기국수,http://place.map.kakao.com/1810168249,음식점
