,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PHOTO_URL,PLACE_URL,PLACE_CAT
0,0,0,0,h000299_60121,126.4889931,33.5013099,2023-06-06 08:33:00,h_h000299,1,제주특별자치도 제주시 도두이동 353-3,제주특별자치도,제주시,도두이동,희야국수,,http://place.map.kakao.com/766722197,음식점
1,1,1,1,h000299_60121,126.4531994,33.497504,2023-06-06 08:57:00,h_h000299,1,제주특별자치도 제주시 이호일동 1665-13,제주특별자치도,제주시,이호일동,이호테우해수욕장,,http://place.map.kakao.com/8552559,관광명소
2,2,2,2,h000299_60121,126.2318824,33.3868593,2023-06-06 11:24:00,h_h000299,1,제주특별자치도 제주시 한림읍 금능리 1454-11,제주특별자치도,제주시,한림읍 금능리,금능식당,,http://place.map.kakao.com/82876391,음식점
3,3,3,3,h000299_60121,126.235782,33.390151,2023-06-06 11:39:00,h_h000299,1,제주특별자치도 제주시 한림읍 금능리 2036-1,제주특별자치도,제주시,한림읍 금능리,금능해수욕장,,http://place.map.kakao.com/13723603,관광명소
4,4,4,5,h000299_60121,126.2634014,33.3227666,2023-06-06 12:56:00,h_h000299,1,제주특별자치도 제주시 한경면 저지리 2848-2,제주특별자치도,제주시,한경면 저지리,담앙족욕카페,,http://place.map.kakao.com/299502916,카페
5,5,5,6,h000299_60121,126.2897544,33.2062321,2023-06-06 15:22:00,h_h000299,1,제주특별자치도 서귀포시 대정읍 상모리 179-4,제주특별자치도,서귀포시,대정읍 상모리,송악산 인증센터,,http://place.map.kakao.com/24325311,관광명소
6,6,6,7,h000299_60121,126.290573,33.2072089,2023-06-06 15:35:00,h_h000299,1,제주특별자치도 서귀포시 대정읍 상모리 133-3,제주특별자치도,서귀포시,대정읍 상모리,형제섬보말칼국수,,http://place.map.kakao.com/333484200,음식점
7,7,7,8,h000299_60121,126.5622844,33.249618,2023-06-06 16:56:00,h_h000299,1,제주특별자치도 서귀포시 서귀동 291-54,제주특별자치도,서귀포시,서귀동,올레삼다정,,http://place.map.kakao.com/26845442,음식점
8,8,8,9,h000299_60121,126.9190572,33.4428194,2023-06-06 18:40:00,h_h000299,1,제주특별자치도 서귀포시 성산읍 고성리 444-5,제주특별자치도,서귀포시,성산읍 고성리,티라한식당,,http://place.map.kakao.com/1152791388,음식점
9,9,9,10,h000299_60121,126.8939615,33.4154216,2023-06-07 09:10:00,h_h000299,2,제주특별자치도 서귀포시 성산읍 온평리 1694,제주특별자치도,서귀포시,성산읍 온평리,혼인지카페,,http://place.map.kakao.com/1812494562,카페
10,10,10,11,h000299_60121,126.8106089,33.4909974,2023-06-07 11:15:00,h_h000299,2,제주특별자치도 제주시 구좌읍 평대리 3159-2,제주특별자치도,제주시,구좌읍 평대리,비자림한치빵,,http://place.map.kakao.com/1676565431,음식점
11,11,11,12,h000299_60121,126.6723451,33.5425207,2023-06-07 16:26:00,h_h000299,2,제주특별자치도 제주시 조천읍 조함해안로 556,제주특별자치도,제주시,조천읍,함덕해물라면오빠집,,http://place.map.kakao.com/1128256491,음식점
12,12,12,13,h000299_60121,126.6718956,33.5425932,2023-06-07 16:43:00,h_h000299,2,제주특별자치도 제주시 조천읍 함덕리 270-32,제주특별자치도,제주시,조천읍 함덕리,오드랑베이커리,,http://place.map.kakao.com/1578746387,음식점
13,13,13,14,h000299_60121,126.4719862,33.4925239,2023-06-07 18:29:00,h_h000299,2,제주특별자치도 제주시 도두일동 2280-3,제주특별자치도,제주시,도두일동,솔지식당,,http://place.map.kakao.com/10550164,음식점
