,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT
0,0,1,h002840_74224,126.52659404981858,33.480268626960786,2023-08-14 18:45:00,h_h002840,1,제주특별자치도 제주시 연북로 424,제주특별자치도,제주시,,러뷰라떼,http://place.map.kakao.com/1244448440,카페
1,1,2,h002840_74224,126.53481850129772,33.48452743553211,2023-08-14 19:44:00,h_h002840,1,제주특별자치도 제주시 아라일동 2567,제주특별자치도,제주시,아라일동,커피빈 제주아라점,http://place.map.kakao.com/2065888112,카페
2,2,3,h002840_74224,126.52464112367518,33.51135763730355,2023-08-14 21:13:00,h_h002840,1,제주특별자치도 제주시 이도일동 1419-7,제주특별자치도,제주시,이도일동,미예랑소극장,http://place.map.kakao.com/24373457,문화시설
3,3,4,h002840_74224,126.48759884774208,33.51767131889064,2023-08-15 09:00:00,h_h002840,2,제주특별자치도 제주시 용담삼동 2400,제주특별자치도,제주시,용담삼동,고기장,http://place.map.kakao.com/2117609179,음식점
4,4,5,h002840_74224,126.52918374559272,33.48102871336099,2023-08-15 12:25:00,h_h002840,2,제주특별자치도 제주시 도남동 439-6,제주특별자치도,제주시,도남동,파리바게뜨 제주제스코본점,http://place.map.kakao.com/49044124,음식점
5,5,6,h002840_74224,126.80988931471282,33.556425374827825,2023-08-15 16:42:00,h_h002840,2,제주특별자치도 제주시 구좌읍 행원리 581-11,제주특별자치도,제주시,구좌읍 행원리,올레길 20코스(김녕-하도 올레),http://place.map.kakao.com/17605888,관광명소
6,6,7,h002840_74224,126.72962722250593,33.55642568312076,2023-08-15 21:02:00,h_h002840,2,제주특별자치도 제주시 구좌읍 김녕리 6194,제주특별자치도,제주시,구좌읍 김녕리,피노&키오,http://place.map.kakao.com/784727493,숙박
7,7,8,h002840_74224,126.72927591380834,33.55644085921636,2023-08-15 22:58:00,h_h002840,2,제주특별자치도 제주시 구좌읍 김녕리 5974,제주특별자치도,제주시,구좌읍 김녕리,저스트원더노트,http://place.map.kakao.com/1633586584,카페
8,8,9,h002840_74224,126.4847432289268,33.47970224309116,2023-08-16 12:14:00,h_h002840,3,제주특별자치도 제주시 노형동 767,제주특별자치도,제주시,노형동,보엠,http://place.map.kakao.com/23753726,음식점
