,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT,PHOTO_URL
0,0,0,0,h001280_65285,126.4861383,33.5030321,2023-06-18 09:25:00,h_h001280,1,제주특별자치도 제주시 도두이동 414-4,제주특별자치도,제주시,도두이동,도도리고기국수,http://place.map.kakao.com/1810168249,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDyBFHUWtMCKyz2wDKMqXXcKk3Rb8gNO0RnKhCWPAyswlkqtpeW9eaAnrI6-viS6myNKVOzZpDOuLWYooEubwPlXIp4V8__ALIBrYCY9KNhrjpiP2Vbt1jWAWsDoiyMs-3ujNP1Qx9xdjqLF3A=s4800-w4800-h3200
1,1,1,1,h001280_65285,126.950883,33.4935829,2023-06-18 13:02:00,h_h001280,1,제주특별자치도 제주시 우도면 연평리 2652-1,제주특별자치도,제주시,우도면 연평리,제주산방식당 우도점,http://place.map.kakao.com/736136809,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDycIi0_MxaRvNKbBol8xmGsHeKSA3m6EG7FJ6SDKZQatDi2KzT8Xe2mNocbkxx9Oh03MVR2IggwZh0Xoly3Co_It5pL3IEti8Y_t0lZennHQhllHe54eElO3I6vFkWrFrJhcGJty9obnK1RHw=s4800-w4032-h3024
2,2,2,3,h001280_65285,126.9148559,33.4473512,2023-06-18 20:48:00,h_h001280,1,제주특별자치도 서귀포시 성산읍 고성리 323-5,제주특별자치도,서귀포시,성산읍 고성리,제일성심당,http://place.map.kakao.com/10800528,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDyAGUeubbuOLlyhx1HmgPU2pmjO675mnrgCu0QHjs4Q1jGqJRiAN6bgJbK8uKtTChBKOZKw7MvjKsCF6V93q5gToRXnjP_8n2DspyxJT0_TkAjzwtX3tJ1Uk2PeKpe9SIirJcOe5s3Ei-XD3QY=s4800-w4800-h2700
3,3,3,4,h001280_65285,126.9223431,33.4364518,2023-06-19 08:16:00,h_h001280,2,제주특별자치도 서귀포시 성산읍 고성리 2747,제주특별자치도,서귀포시,성산읍 고성리,우리들국수,http://place.map.kakao.com/757467182,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDzqoNO8fZW3r07PWEg6BTcI__ZFMrODydwwHvu6t_Rpo3B2jZWsMCOyRj1cd7_2u3xnIyVh6kSB6uF7s0ciaupD5DeqdaJ7HjNWPJBacJZu7cSE0Vbz5ryuuviM6yYN36uAeOps6NvGz282N4Q=s4800-w1050-h1400
4,4,4,5,h001280_65285,126.9220849,33.4355063,2023-06-19 09:21:00,h_h001280,2,제주특별자치도 서귀포시 성산읍 고성리 186-2,제주특별자치도,서귀포시,성산읍 고성리,서귀피안베이커리,http://place.map.kakao.com/231488419,음식점,https://lh3.googleusercontent.com/places/ANXAkqGmpKvhn2rq5oUnempn1siuOVEXcGh-6FsQ-wCGpmm0t5HwAdSWX8otuWuIvuc3O5r6Thp2p-mZ4Ejs24IAhp2UoaJAOdA6vLU=s4800-w1000-h667
5,5,5,6,h001280_65285,126.7785153,33.4444395,2023-06-19 11:41:00,h_h001280,2,제주특별자치도 제주시 구좌읍 송당리 2845,제주특별자치도,제주시,구좌읍 송당리,스누피가든,http://place.map.kakao.com/852041742,관광명소,https://lh3.googleusercontent.com/place-photos/AEkURDxSgxpPJZWhlXYYOHa3NjOayMvyar9OLBbIboofy3pd_yS07s4wSJH1pujkNf_DKba4UZeQ02xEmAKHuKb453FK2Ci-7w7jlV9GjNfVHRSqC6Mnxu2guM348ASK15dJCnL5DnmzowMH_yqqWQY=s4800-w4000-h3000
6,6,6,7,h001280_65285,126.7798542,33.4441097,2023-06-19 12:50:00,h_h001280,2,제주특별자치도 제주시 구좌읍 송당6길 312,제주특별자치도,제주시,구좌읍,루시의레모네이드카페,http://place.map.kakao.com/252781250,카페,https://lh3.googleusercontent.com/place-photos/AEkURDzuEoyMN6RYHqm8agOlYCWT62Q-n-Xx86udcczwcYNLnZvYwgy_UPrwlY2AaC9vBdiicJhCc_NwXS05dGqlFHUBTCl4DlbxLlqZ651VH7zWvv29-QpTC9K3iHFk7f71IrOvGvwnUjX51y2Urcs=s4800-w3464-h4618
7,7,7,8,h001280_65285,126.563976,33.2494617,2023-06-19 15:02:00,h_h001280,2,제주특별자치도 서귀포시 서귀동 340,제주특별자치도,서귀포시,서귀동,남매네왕갈치,http://place.map.kakao.com/1659950257,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDzaqJQPOJCW-qWt5hSqKD8FP9bR5U_cVXOfwDIPWDqNQIeyd4h7VaIqRubi1szMwaqt1hyuBy2N-SJfZfHGN7FeI_PefnbsVlo1Bp0Jf1Mwny7S6OOgpah5aG2Yz5giJCwI1JTp_4lYEJXKJos=s4800-w3024-h4032
8,8,8,9,h001280_65285,126.5621031,33.2513847,2023-06-19 15:26:00,h_h001280,2,제주특별자치도 서귀포시 서귀동 288-20,제주특별자치도,서귀포시,서귀동,제주부싯돌,http://place.map.kakao.com/21929928,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDwMbPXKIn9VSCQTz-Kuu09EQ6ZlmVphfzgD-NOc7QFaMfXxzniAS3bHiIeFwr3gFPRolTPTxOvCkLRfChLZ8eLvKKOEnzSAfHacqko_JJ-BJO6JSf28SkDLbniBqCfIkBIiYyIz--dqS8-_w8E=s4800-w4032-h3024
9,9,9,10,h001280_65285,126.3656294,33.2406909,2023-06-19 18:35:00,h_h001280,2,제주특별자치도 서귀포시 안덕면 창천리 953-8,제주특별자치도,서귀포시,안덕면 창천리,소기왓민박,http://place.map.kakao.com/1980114627,숙박,
10,10,10,11,h001280_65285,126.3860792,33.2356625,2023-06-19 19:13:00,h_h001280,2,제주특별자치도 서귀포시 하예동 592-1,제주특별자치도,서귀포시,하예동,열리해안도로,http://place.map.kakao.com/8009713,관광명소,https://lh3.googleusercontent.com/place-photos/AEkURDyJi5oC1Cp7iNsIs1TlAno_BHzjmorrswQUwyS8JE50sgm0kagHNjVRup-x3xG9PvX0glozFVlQc8CuFsMQoPcS51r5-t5oEPRS78znbq_GqmVi6vx6My3Dn0WZrW3sdayK50vFLZfrMwZ1Q5A=s4800-w4032-h2268
11,11,11,12,h001280_65285,126.3704605,33.288938,2023-06-20 12:55:00,h_h001280,3,제주특별자치도 서귀포시 안덕면 병악로 166,제주특별자치도,서귀포시,안덕면,카멜리아힐 목조별장,http://place.map.kakao.com/17575475,숙박,https://lh3.googleusercontent.com/place-photos/AEkURDwxZotlcPJQdKP42-AsL3pUs1Vle2HjjCLXJsJIa9_9rmhQcRwuV1iIhf0BxyZ7poSSbKEhs1kT6JK2P1AkyaM4KM2VkzhCDy3j-RKoxP8bWWineviC7s4bZkfOfT_OH--cL0sDCyv1W6V0xA=s4800-w4800-h2700
12,12,12,13,h001280_65285,126.1993044,33.3649232,2023-06-20 14:44:00,h_h001280,3,제주특별자치도 제주시 한경면 판포1길 6,제주특별자치도,제주시,한경면,퐁당라면,http://place.map.kakao.com/1177758484,음식점,https://lh3.googleusercontent.com/places/ANXAkqEDFSjVD8TG9tagH6KugFrYYg_M3BT7srTZcpPJyJN8NFQXjWl1cLhjyzDX1waa1CEymHefMIIphzRehLzHgDDKTqPYOljf7vQ=s4800-w4032-h3024
13,13,13,14,h001280_65285,126.199238,33.3654779,2023-06-20 15:29:00,h_h001280,3,제주특별자치도 제주시 한경면 판포리 2877-1,제주특별자치도,제주시,한경면 판포리,짚불도,http://place.map.kakao.com/1724580722,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDw_ZBeniYRPSxBHS5qcZuowa0s8xahEaQ-Gg_DGE1MW7KnVs8Czsm0H-QhdY6dsGCjUq2Vqw2hZ21QC0Utgkit0_8QnoQAgxdQW8_cbJUbX8k5kf98oFhDMjPT08xkM9L_MMZyKgrECIkYmQg=s4800-w4032-h2268
