,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PHOTO_URL,PLACE_URL,PLACE_CAT
0,0,0,0,h000589_62538,126.4875071,33.4858567,2023-06-10 20:55:00,h_h000589,1,제주특별자치도 제주시 연동 253-1,제주특별자치도,제주시,연동,하이디라오 제주도점,https://lh3.googleusercontent.com/place-photos/AEkURDzx93WKd-RI5SNGkZ2JKZpZ814UFwSrJ8gb2vnSI-yDk2tcZD6mrdUMqEcZZiqZN5st_5xQu5nAMfydCoGpVZ_WHEgOQ2HgEphV5d-4cGu4xICdQF9zTYddhxPTFekEWXkNxI_GEAP22Ct4Wijeur4Vzg=s4800-w4000-h3000,http://place.map.kakao.com/1143177072,음식점
1,1,1,1,h000589_62538,126.4892689,33.4878909,2023-06-10 23:23:00,h_h000589,1,제주특별자치도 제주시 연동 261,제주특별자치도,제주시,연동,제원칼집 본점,https://lh3.googleusercontent.com/place-photos/AEkURDyCB64epe3ATcZ8n34oqWTXgUPS1jS5bGBppQUDiMiGgerhOxvOgNh0yYxo0tX8V03HDaSmBGYsZyh4c5yrVn1fm6CDCRPUp0TZyUgeRVbDYcALW5U4svl1ATs_JcsJIgD_5RLdMEdrIULDIw=s4800-w4000-h3000,http://place.map.kakao.com/12597193,음식점
2,2,2,3,h000589_62538,126.3369928,33.2388872,2023-06-11 17:53:00,h_h000589,2,제주특별자치도 서귀포시 안덕면 화순리 645-1,제주특별자치도,서귀포시,안덕면 화순리,화순한가네식당,https://lh3.googleusercontent.com/place-photos/AEkURDznHz_KoEIfN7nUgQmOUeQT0qJq0lnwd1mqd2cS7bYI98Sp_oknDEhdImiaws3n2nctXKDe048lSsuncXHHk0vunmYFyBadHfxh05VW5UWAcIM7TEGG0LMM5rNQpoUtaWN3C2Wk0kcTNl1-fg=s4800-w4032-h2268,http://place.map.kakao.com/623072470,음식점
3,3,3,4,h000589_62538,126.3373467,33.2395085,2023-06-11 18:11:00,h_h000589,2,제주특별자치도 서귀포시 안덕면 화순리 763-10,제주특별자치도,서귀포시,안덕면 화순리,제주애찬,https://lh3.googleusercontent.com/places/ANXAkqEIRotM_71jre8qaiTofO5AcIwe39ntm7pq_aZrwmG-jC91rpRjHc4HFak-_OMrVz9woJ3OQkmTG0sufAOeVMOW0m8na6PUaGE=s4800-w4800-h3200,http://place.map.kakao.com/2031966072,음식점
4,4,4,5,h000589_62538,126.3337033,33.2466762,2023-06-11 18:39:00,h_h000589,2,제주특별자치도 서귀포시 안덕면 화순로 122,제주특별자치도,서귀포시,안덕면,오레노카츠 제주화순점,https://lh3.googleusercontent.com/place-photos/AEkURDz-dGYzQFMqf501MGsiLz_9SMXddtR94rnWLlNFX4VXg9HNz5sEvZXPkRRodgU3Mt3-lNjByBEYJHadjqtGO07TRUYe8GZ42TLeCQL0ha_tWC2X_wtkfo40mKfzkWIHxVznd9wU4CEQDbz6vg=s4800-w4000-h3000,http://place.map.kakao.com/1534979119,음식점
5,5,5,6,h000589_62538,126.3358536,33.2468104,2023-06-11 19:02:00,h_h000589,2,제주특별자치도 서귀포시 안덕면 화순리 337-2,제주특별자치도,서귀포시,안덕면 화순리,호가,https://lh3.googleusercontent.com/place-photos/AEkURDypIOQDZArL6nTxGmpl78kZTiO9MEuqVwlWcBEc77UBlKufSxQL0sMiWiHrRo6cZqe9sNVmp0-pwzocHqZw0UHCGoMtJDlbMgR0ZzYG1Diy6mCfdUZReOGd0xR9ys-mUhmEhSRU8URsVK_tow=s4800-w4000-h3000,http://place.map.kakao.com/26640200,음식점
6,6,6,7,h000589_62538,126.5648897,33.2418356,2023-06-12 10:38:00,h_h000589,3,제주특별자치도 서귀포시 부두로 35,제주특별자치도,서귀포시,,할매식당,https://lh3.googleusercontent.com/place-photos/AEkURDzS46APGDlzhQjW3VtNAZW9uv3zF5PfGDuC654wnlcY8y_5AcKJyN533t19IBYrmKGyOpkeiuYMIPSvluyrVu5jOqGOWUESfS0LpFrnxkcOrFt0MenwNEwcrBnNfxp9KHCEqQstTB6hw_By04M=s4800-w4800-h3599,http://place.map.kakao.com/11424144,음식점
7,7,7,8,h000589_62538,126.3154672,33.3060093,2023-06-12 16:05:00,h_h000589,3,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도,서귀포시,안덕면,신화워터파크,https://lh3.googleusercontent.com/place-photos/AEkURDxG2vKjqLfTkUtN88NyYFLrM3CqKtsH5WeKXMFGh2xuYnXZZCUpRmvnq670SM4p-kNJr95gNGr0vjou-1LXKg_-l9te5DgZi_ksnJp-zCO206RamRLcnW6esBRxh-I8_kEiB27fTrf-r3bWx9I=s4800-w4032-h2268,http://place.map.kakao.com/1870273669,관광명소
8,8,8,9,h000589_62538,126.3159063,33.3067347,2023-06-12 17:33:00,h_h000589,3,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도,서귀포시,안덕면,제주신화월드 바온탑,https://lh3.googleusercontent.com/places/ANXAkqES0UvKr3iqV5V17rRi48xtDCXdxGQrUFG_J9cFe10CK5DDNe6df6yl6QBaqyOmowT-5wRIEW9fvbUfHDleclaBcezTbFfaTEc=s4800-w1140-h684,http://place.map.kakao.com/1586239106,음식점
9,9,9,10,h000589_62538,126.3126017,33.3051291,2023-06-13 11:29:00,h_h000589,4,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,제주특별자치도,서귀포시,안덕면,모모쥬동물원,https://lh3.googleusercontent.com/places/ANXAkqH3p0BNGdFNI9UmTtqxGxtmgP_KrP1CU1NKNEQQ8KuDh_z7ZKJkk6KbOb2ym-0s3HMouZZHKysvgKPm1RsN3XNG8Y_ANaKDYVc=s4800-w994-h994,http://place.map.kakao.com/616836970,관광명소
