,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT
0,0,0,h005580_97086,126.48900834159632,33.491698246903965,2023-08-28 20:57:00,h_h005580,1,제주특별자치도 제주시 연동 2335-4,제주특별자치도,제주시,연동,어머니빵집 연동본점,http://place.map.kakao.com/26534346,음식점
1,1,1,h005580_97086,126.48769067612147,33.489893409454794,2023-08-28 22:38:00,h_h005580,1,제주특별자치도 제주시 연동 251,제주특별자치도,제주시,연동,연동본가,http://place.map.kakao.com/23557082,음식점
2,2,2,h005580_97086,126.4869435970918,33.49022801502941,2023-08-28 23:11:00,h_h005580,1,제주특별자치도 제주시 연동 2062-2,제주특별자치도,제주시,연동,롯데시티호텔 제주 뷔페 씨카페,http://place.map.kakao.com/24119020,음식점
3,3,3,h005580_97086,126.47355910752631,33.48701044167579,2023-08-29 12:11:00,h_h005580,2,제주특별자치도 제주시 노형동 2598-3,제주특별자치도,제주시,노형동,제주밤밤,http://place.map.kakao.com/290285975,음식점
4,4,4,h005580_97086,126.50431241118903,33.516736913239455,2023-08-29 12:45:00,h_h005580,2,제주특별자치도 제주시 용담삼동 1064-3,제주특별자치도,제주시,용담삼동,용두암해수랜드,http://place.map.kakao.com/8030782,관광명소
5,5,6,h005580_97086,126.66995000673828,33.5422516396244,2023-08-29 15:28:00,h_h005580,2,제주특별자치도 제주시 조천읍 함덕리 1004-42,제주특별자치도,제주시,조천읍 함덕리,함덕뚝배기,http://place.map.kakao.com/27596580,음식점
6,6,7,h005580_97086,126.66937290595598,33.54282071499359,2023-08-29 16:19:00,h_h005580,2,제주특별자치도 제주시 조천읍 조함해안로 525,제주특별자치도,제주시,조천읍,함덕해수욕장,http://place.map.kakao.com/8148451,관광명소
7,7,8,h005580_97086,126.49608297285296,33.518592752547484,2023-08-29 18:38:00,h_h005580,2,제주특별자치도 제주시 어영길 25,제주특별자치도,제주시,,김희선제주두루치기,http://place.map.kakao.com/1657266357,음식점
8,8,9,h005580_97086,126.4870375356353,33.51772881386051,2023-08-29 19:48:00,h_h005580,2,제주특별자치도 제주시 용담삼동 2396-2,제주특별자치도,제주시,용담삼동,고기장,http://place.map.kakao.com/2117609179,음식점
9,9,10,h005580_97086,126.49076477328975,33.51918866553442,2023-08-29 20:32:00,h_h005580,2,제주특별자치도 제주시 용담삼동 2292-26,제주특별자치도,제주시,용담삼동,제주카페거리,http://place.map.kakao.com/8067491,관광명소
10,10,11,h005580_97086,126.4936493337001,33.519778934514726,2023-08-29 20:42:00,h_h005580,2,제주특별자치도 제주시 용담삼동 2292-2,제주특별자치도,제주시,용담삼동,올레길 17코스(광령-제주원도심 올레),http://place.map.kakao.com/12753473,관광명소
11,11,12,h005580_97086,126.49791943082307,33.51810312903797,2023-08-30 07:43:00,h_h005580,3,제주특별자치도 제주시 용담삼동 1204-5,제주특별자치도,제주시,용담삼동,김희선제주몸국,http://place.map.kakao.com/17914522,음식점
12,12,13,h005580_97086,126.50186371595385,33.515211993841746,2023-08-30 09:02:00,h_h005580,3,제주특별자치도 제주시 용담삼동 969-1,제주특별자치도,제주시,용담삼동,제주어항,http://place.map.kakao.com/18954259,음식점
