,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT
0,0,1,h004219_80885,126.3185284,33.4668273,2023-08-21 10:28:00,h_h004219,1,제주특별자치도 제주시 애월읍 애월리 1819-47,제주특별자치도,제주시,애월읍 애월리,애월오누이 제주,http://place.map.kakao.com/974387661,음식점
1,1,2,h004219_80885,126.2432528,33.3957089,2023-08-21 12:02:00,h_h004219,1,제주특별자치도 제주시 한림읍 협재리 1884-1,제주특별자치도,제주시,한림읍 협재리,바라버거,http://place.map.kakao.com/1011111736,음식점
2,2,3,h004219_80885,126.2432837,33.3924604,2023-08-21 12:16:00,h_h004219,1,제주특별자치도 제주시 한림읍 협재리 2563-2,제주특별자치도,제주시,한림읍 협재리,쉬멍놀멍,http://place.map.kakao.com/1757177828,숙박
3,3,4,h004219_80885,126.3664126,33.4098426,2023-08-21 13:36:00,h_h004219,1,제주특별자치도 제주시 애월읍 납읍리 98-1,제주특별자치도,제주시,애월읍 납읍리,도치돌,http://place.map.kakao.com/1422737411,
4,4,5,h004219_80885,126.4121706,33.2505681,2023-08-21 17:22:00,h_h004219,1,제주특별자치도 서귀포시 중문관광로110번길 31,제주특별자치도,서귀포시,,테디베어뮤지엄 제주점,http://place.map.kakao.com/8559375,문화시설
5,5,6,h004219_80885,126.3461135,33.2550608,2023-08-22 15:13:00,h_h004219,2,제주특별자치도 서귀포시 안덕면 일주서로 1611,제주특별자치도,서귀포시,안덕면,건강과성박물관,http://place.map.kakao.com/8171313,문화시설
6,6,7,h004219_80885,126.4933669,33.4954309,2023-08-22 16:45:00,h_h004219,2,제주특별자치도 제주시 용담이동 1817-1,제주특별자치도,제주시,용담이동,궁중오메기떡,http://place.map.kakao.com/22176965,음식점
7,7,8,h004219_80885,126.4553118,33.464429,2023-08-22 18:05:00,h_h004219,2,제주특별자치도 제주시 해안동 2137-1,제주특별자치도,제주시,해안동,노형수퍼마켙,http://place.map.kakao.com/1209632068,문화시설
8,8,9,h004219_80885,126.4520906,33.4969355,2023-08-22 19:19:00,h_h004219,2,제주특별자치도 제주시 테우해안로 174,제주특별자치도,제주시,,올레회어촌,http://place.map.kakao.com/9287681,음식점
9,9,10,h004219_80885,126.4824927,33.4958989,2023-08-22 19:56:00,h_h004219,2,제주특별자치도 제주시 연동 2477-20,제주특별자치도,제주시,연동,송정동핫도그 제주지사점,http://place.map.kakao.com/1066463785,음식점
10,10,11,h004219_80885,126.4847106,33.4938475,2023-08-22 20:27:00,h_h004219,2,제주특별자치도 제주시 연동 2019-18,제주특별자치도,제주시,연동,조은이웃구이집,http://place.map.kakao.com/14587185,음식점
