,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT,PHOTO_URL
0,0,0,0,h001257_65192,126.5225971,33.5186146,2023-06-23 18:21:00,h_h001257,1,제주특별자치도 제주시 삼도이동 1264,제주특별자치도,제주시,삼도이동,오션스위츠블루오션,http://place.map.kakao.com/21493767,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDxZWa7tQSZ9f0CXp40AnsyCFbqU2b74qIFF80ocSgSMH2IVCDNGNH5LErqWTioEUoJ8ExlDhv-GOSz84spdXBOxnGkMjLSmcx5WQF402p5rHCC5tOJrA72yrC9Tln-2MxpFFGfNX_zahSsPfw=s4800-w2992-h2992
1,1,1,1,h001257_65192,126.5242302,33.5165896,2023-06-23 19:40:00,h_h001257,1,제주특별자치도 제주시 삼도이동 1-6,제주특별자치도,제주시,삼도이동,하루방보쌈 제주본점,http://place.map.kakao.com/10859037,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDyNmQDHbm_1jDMH2_s8sXYTienZTHahjLyN664ovPVL0LBj5t3fsDEOgRypKGM8gORj50xoxROmkltOBOerth24gNBaXVm70p_oVAjTrV8x5HmQ4DIeONK0VqwyULsn3ULtRrdnU5NWO1l0TgMHkDteeQ=s4800-w4800-h3600
2,2,2,2,h001257_65192,126.515363,33.5162218,2023-06-23 21:04:00,h_h001257,1,제주특별자치도 제주시 동한두기길 45-2,제주특별자치도,제주시,,가치,http://place.map.kakao.com/400897337,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDynHVoN3cuflM_y7tFTYY1z_eRWQUki_y5zThS4JRWmEyuroc3NIcYTjtWkkZHmZRR6RAo86ckitpzDWjcOL2SYTR9-eYFzD19xSXWzWYdJ4vNVBWiqOZvnQYl72SjW6lcG7c4xb-ur5JqP=s4800-w4032-h2268
3,3,3,4,h001257_65192,126.754191,33.5583454,2023-06-24 15:19:00,h_h001257,2,제주특별자치도 제주시 구좌읍 김녕리 1270-7,제주특별자치도,제주시,구좌읍 김녕리,윤슬,http://place.map.kakao.com/49294700,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDz9kpubqOMF15bwTkupNF42YXIRcB03t-SzJfdre68uOsLneLa2T0GBCiiaU0UilPTn2_wuZLCygqNhP28jULgPUNy8Z2GP4dccYeopNSGkot_s750bWmdbPMmQg9N8XM6pnjrCoFdjayyD=s4800-w4000-h3000
4,4,4,5,h001257_65192,126.754842,33.5583577,2023-06-24 16:49:00,h_h001257,2,제주특별자치도 제주시 구좌읍 김녕리 1270-8,제주특별자치도,제주시,구좌읍 김녕리,바다는김녕,http://place.map.kakao.com/1055190967,카페,https://lh3.googleusercontent.com/places/ANXAkqH_CnefqXVHcZe262HDBDl5YjItN9GTGAdryeCpqtI-9oXLYwXk6Uk0yeyVGyqxMDkjS5d2XgZ_4Uz8Kui5CQHYJbql9bkpvEk=s4800-w1452-h670
5,5,5,6,h001257_65192,126.5709651,33.5195001,2023-06-24 17:56:00,h_h001257,2,제주특별자치도 제주시 화북일동 5749-61,제주특별자치도,제주시,화북일동,국수사랑,http://place.map.kakao.com/8825557,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDyIU6N8e7Ui_onLKa-IqlrG0AQ9mBURyh3K5idTtmwL2aVoTWEVf2eTnfmYP2E4ASxjdryaD4vPcB2Qy7gtbNSknrh70YRdwvGzbtmFw6ueuZ94r_rhIFoiZ3QtIQnHU3tlEk8mndYaSiy-kKY=s4800-w4000-h2252
6,6,6,7,h001257_65192,126.5220917,33.5130886,2023-06-24 18:37:00,h_h001257,2,제주특별자치도 제주시 관덕로 26,제주특별자치도,제주시,,예술공감,http://place.map.kakao.com/441346085,문화시설,
7,7,7,8,h001257_65192,126.5215594,33.5136493,2023-06-24 20:52:00,h_h001257,2,제주특별자치도 제주시 관덕로 25,제주특별자치도,제주시,,도주제,http://place.map.kakao.com/1024305159,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDyGKtujX1MzdtCDpD27-7XwCPQipTQBpWYgIIxa0xad4e-EaWvNcT2Ka6k-W44RagWjXcx2kQuFejt0BgKt2-u9m__QAoec6K4vYZVTH6268PISjpNNbmlruO20R1jTDkaXxvrofiOmqq041Rg=s4800-w3024-h4032
8,8,8,9,h001257_65192,126.526209,33.5117285,2023-06-24 21:25:00,h_h001257,2,제주특별자치도 제주시 이도일동 1435-3,제주특별자치도,제주시,이도일동,동문올레수산,http://place.map.kakao.com/1994899330,음식점,https://lh3.googleusercontent.com/places/ANXAkqGu_IJSOLnseY1Wt6HpIAppqimbG8WlF52r4wafoYhphPdeUDryK_S-hPuoTOy9zvvEAARNNzqsYUmlfcDqEEDgpZ1ltazdCdM=s4800-w853-h1280
9,9,9,10,h001257_65192,126.5232194,33.5181682,2023-06-25 08:53:00,h_h001257,3,제주특별자치도 제주시 탑동해안로 74,제주특별자치도,제주시,,제주문화원,http://place.map.kakao.com/1250785278,문화시설,https://lh3.googleusercontent.com/place-photos/AEkURDwh9XiBg2IF0GerfQaflUFmUGyJUU6abqyzhBUm-LWZC3_wB9c_GpFYGO7qOj_O65aZLNKbwdzxYRQBRQpEHxdD8AugnWYPxrLATx4rzHzYoPhYT-639EkJYu62H0K9veb-d_KUlbKdtgtgEi27z3yG=s4800-w3852-h2167
10,10,10,11,h001257_65192,126.5234421,33.5179503,2023-06-25 09:28:00,h_h001257,3,제주특별자치도 제주시 탑동로2길 7,제주특별자치도,제주시,,아라리오뮤지엄 탑동시네마,http://place.map.kakao.com/25811890,문화시설,https://lh3.googleusercontent.com/place-photos/AEkURDwetxHW2rHCbhBK_RmCauJ1m-KdHSFJsw0UXx3754wdUCxYB0mwQL2Pkw9UjHnTSum7KyB_thrCz7DmzgD4mRBgKhvjkl26DYHCG_VtC0dxfIiob1ZlnAAvVCIolnLMY3O14DxS2PnqTFVwYF0=s4800-w4032-h3024
11,11,11,12,h001257_65192,126.5330043,33.5174336,2023-06-25 10:35:00,h_h001257,3,제주특별자치도 제주시 건입동 984-117,제주특별자치도,제주시,건입동,소완도식당,http://place.map.kakao.com/1848946348,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDxeDw7b6Z-7nsAWgym4_1hcXuGibq_djuje5yrufiarAdK7FgA2BatIhGo9AjGbcr69cauFLN5_PDm3sw-Ob9Uz0nbyXI-HqIFFRQYW2n-5RpxiMwQZv_BiRDKrsbjpRBmX68WeyLI04wCzNA=s4800-w4000-h1868
12,12,12,13,h001257_65192,126.5348674,33.5176957,2023-06-25 10:51:00,h_h001257,3,제주특별자치도 제주시 만덕로3길 26,제주특별자치도,제주시,,주정공장수용소 4.3역사관,http://place.map.kakao.com/1401434050,문화시설,https://lh3.googleusercontent.com/place-photos/AEkURDypp5qCz4bGUb8U6-YonyyJqchXH-gyL3c0pOA-3o3sNF1tetsrp1uR8Ddq58BZRgSTai28Fv-hFcD4ggfp31-bJJWDurPebi6C8Bc5RBawRRFsOlS-j93n1GPfIkOTZYdlJSyioKTjA1AVYg=s4800-w3024-h4032
13,13,13,14,h001257_65192,126.5448482,33.5185596,2023-06-25 11:54:00,h_h001257,3,제주특별자치도 제주시 건입동 387-1,제주특별자치도,제주시,건입동,사라봉숲길,http://place.map.kakao.com/326102329,관광명소,https://lh3.googleusercontent.com/place-photos/AEkURDz4OapEQp4wT3Ys9LQ3jk8GgVI6fInPuiABngDXCwR8GNwx9_OuvKkmaRXbeVeBD0_nBX7ddyL32nVQJm_k6AQ3x-xbEpd-1CVII_9vhj6Erp43mzGS9UFvo7EOKF1KUdegIrGTtqYlb-B52Xw=s4800-w4800-h3600
14,14,14,15,h001257_65192,126.5483445,33.5134307,2023-06-25 12:39:00,h_h001257,3,제주특별자치도 제주시 일주동로 17,제주특별자치도,제주시,,국립제주박물관,http://place.map.kakao.com/8192179,문화시설,https://lh3.googleusercontent.com/place-photos/AEkURDwdCxPR-qSymFEtYn-S8r_XxE0uJBPeClUeDAz5dSGsXcunXg7EY0psVMuPp-ezSr_sRvKF7FtKRLMMBF2DzAoFeItdoyNghU8gNvhDPwu0prE_dSVro2YSVCSBvSjwME0MwbhtZxGYZSmenQ=s4800-w4000-h3000
15,15,15,16,h001257_65192,126.523102,33.5181936,2023-06-25 17:20:00,h_h001257,3,제주특별자치도 제주시 탑동해안로 74,제주특별자치도,제주시,,맥파이 탑동점,http://place.map.kakao.com/524665718,음식점,https://lh3.googleusercontent.com/places/ANXAkqGlwPaSTdVaAnT6fBTPlA077wiqduhYsQiYJkZbDqnwvyF5iZvpp0LQgLyMdHMFCU9ncSxyfcSE7-EKGM26BwqMUbr54Q700Zw=s4800-w2000-h2000
16,16,16,17,h001257_65192,126.5345996,33.5052961,2023-06-25 21:23:00,h_h001257,3,제주특별자치도 제주시 일도이동 879-2,제주특별자치도,제주시,일도이동,비인,http://place.map.kakao.com/1145123982,문화시설,
