,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT
0,0,0,h003120_75597,126.51961876611568,33.51144542573668,2023-08-27 12:15:00,h_h003120,1,제주특별자치도 제주시 용담일동 155-3,제주특별자치도,제주시,용담일동,우진해장국,http://place.map.kakao.com/11547525,음식점
1,1,1,h003120_75597,126.30035267945564,33.44764117661868,2023-08-27 14:50:00,h_h003120,1,제주특별자치도 제주시 애월읍 금성리 569-3,제주특별자치도,제주시,애월읍 금성리,빔클라우드,http://place.map.kakao.com/1551497226,카페
2,2,2,h003120_75597,126.2010958041776,33.3655229653763,2023-08-27 16:09:00,h_h003120,1,제주특별자치도 제주시 한경면 판포리 1703-7,제주특별자치도,제주시,한경면 판포리,스테이예스,http://place.map.kakao.com/1195340597,숙박
3,3,3,h003120_75597,126.198649399469,33.365641458232155,2023-08-27 17:13:00,h_h003120,1,제주특별자치도 제주시 한경면 판포리 2877-1,제주특별자치도,제주시,한경면 판포리,바다를본돼지 제주협재판포본점,http://place.map.kakao.com/18507401,음식점
4,4,4,h003120_75597,126.21650984007351,33.379098691713686,2023-08-27 21:24:00,h_h003120,1,제주특별자치도 제주시 한림읍 월령리 317-2,제주특별자치도,제주시,한림읍 월령리,월령포구,http://place.map.kakao.com/13723518,
5,5,5,h003120_75597,126.21632141566128,33.37943786579719,2023-08-28 09:04:00,h_h003120,2,제주특별자치도 제주시 한림읍 월령리 330-1,제주특별자치도,제주시,한림읍 월령리,월령작야,http://place.map.kakao.com/1439387530,음식점
6,6,7,h003120_75597,126.3397059923835,33.30846784684118,2023-08-28 16:02:00,h_h003120,2,제주특별자치도 서귀포시 안덕면 동광리 948-2,제주특별자치도,서귀포시,안덕면 동광리,바베큐쉑,http://place.map.kakao.com/139523509,음식점
7,7,8,h003120_75597,126.30871650484974,33.23510936020578,2023-08-28 16:34:00,h_h003120,2,제주특별자치도 서귀포시 안덕면 사계리 235-2,제주특별자치도,서귀포시,안덕면 사계리,고메밀면 제주본점,http://place.map.kakao.com/2144677015,음식점
8,8,9,h003120_75597,126.33372209191688,33.24854006145022,2023-08-28 18:57:00,h_h003120,2,제주특별자치도 서귀포시 안덕면 화순리 1928,제주특별자치도,서귀포시,안덕면 화순리,박돌,http://place.map.kakao.com/896627017,숙박
9,9,10,h003120_75597,126.33488495382144,33.24650663994309,2023-08-28 19:41:00,h_h003120,2,제주특별자치도 서귀포시 안덕면 화순리 1079-2,제주특별자치도,서귀포시,안덕면 화순리,중앙식당,http://place.map.kakao.com/11892318,음식점
10,10,11,h003120_75597,126.41964453536012,33.25408170035581,2023-08-28 20:09:00,h_h003120,2,제주특별자치도 서귀포시 중문동 1489-1,제주특별자치도,서귀포시,중문동,제주미향해장국 중문본점,http://place.map.kakao.com/180321347,음식점
11,11,12,h003120_75597,126.41474947842242,33.25507194829658,2023-08-28 20:19:00,h_h003120,2,제주특별자치도 서귀포시 색달동 2503-2,제주특별자치도,서귀포시,색달동,제주오성 순살갈치조림,http://place.map.kakao.com/10627937,음식점
12,12,13,h003120_75597,126.41397980018677,33.25963949917324,2023-08-29 02:18:00,h_h003120,3,제주특별자치도 서귀포시 색달동 2290-2,제주특별자치도,서귀포시,색달동,예원이네은갈치조림,http://place.map.kakao.com/1872479171,음식점
