,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT,PHOTO_URL
0,0,0,1,h002119_69480,126.3720272,33.2653003,2023-07-28 14:03:00,h_h002119,1,제주특별자치도 서귀포시 안덕면 창천리 1440,제주특별자치도,서귀포시,안덕면 창천리,잠봉드제주,http://place.map.kakao.com/1767315588,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDzIl3V2RuGcuCLYYPEM5HRb-ONIrOFzrkXTjmQwPgNSacfkw-1L7tO2ui3BCp047n0iASwT1N1L-Hn58slg8QFuG9UHKMVH8DcuZYzBY8LKklDXRTVaAooPWgfTYQp7FApVVCd0f7n6ILTT=s4800-w3000-h4000
1,1,1,2,h002119_69480,126.4985424,33.2676395,2023-07-28 15:07:00,h_h002119,1,제주특별자치도 서귀포시 강정동 5628,제주특별자치도,서귀포시,강정동,엉또농원,http://place.map.kakao.com/14080346,관광명소,https://lh3.googleusercontent.com/place-photos/AEkURDw-cbs1VHGA4EtqmXauOraOfqETbbBDTLZy6oLOnblkiWgQHJKw5XCqcIqNNdAXbSa83VeO7cn5UQScMEq74EKRnccF0Ya-BauzCDPZ5elvSNU_lMl9JuUybfK0SnRhrw1q6e1gJ37nhddXBQ=s4800-w4032-h1960
2,2,2,3,h002119_69480,126.42964,33.2510507,2023-07-28 16:15:00,h_h002119,1,제주특별자치도 서귀포시 중문동 1932-2,제주특별자치도,서귀포시,중문동,추천해꼬막짬뽕 중문점,http://place.map.kakao.com/1908222460,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDzWzVu9PE6vuKwLJLsKeRaasHAga5U5JvV0ZCOkUV65b6NPk37B0Y4YXtHauf97N4-vTDUsmZIoAyE8q0WbGKj9D-e2aa1utkP3obIpaYZNknVHIbg8vfxnAdUPm2saGCihku4aA46IA9PUKw=s4800-w4000-h3000
3,3,3,4,h002119_69480,126.4179239,33.2523996,2023-07-28 17:03:00,h_h002119,1,제주특별자치도 서귀포시 중문동 2232,제주특별자치도,서귀포시,중문동,천제연난대림,http://place.map.kakao.com/12721329,관광명소,https://lh3.googleusercontent.com/place-photos/AEkURDzQ-6uE-Gt-LvtROHUAwxTLxtE6-dk-Jxu4ayC2Qd8V6vohh7CBnoxsg-XIii5JA8-nzJnZJFQVhMfVR4aWkcRM_KNlU7KH6cHm169LDhMsRkUvbEOPidqCr4AMFrM1tcw3Y00x5Adm9rEmMA=s4800-w3024-h4032
4,4,4,5,h002119_69480,126.4309203,33.2491149,2023-07-29 04:23:00,h_h002119,2,제주특별자치도 서귀포시 대포동 754-3,제주특별자치도,서귀포시,대포동,가람돌솥밥,http://place.map.kakao.com/10954053,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDwZZKWeIxEzDBzTBBDUT8qZDYcwKK6SVbjkcJFXr-Feur1a8GHC6W7O6Oo-ylmzdZ76zNIg3CvuCv5ko7-y7pmbMyce2XD5gLCCtnd5RNndm2ktJYiuT2ICERTBiShjikALeMgf0PBLDoOAFA=s4800-w1080-h1080
5,5,5,6,h002119_69480,126.4315199,33.2470914,2023-07-29 06:51:00,h_h002119,2,제주특별자치도 서귀포시 중문동 2456-3,제주특별자치도,서귀포시,중문동,W오션펜션,http://place.map.kakao.com/136164150,숙박,https://lh3.googleusercontent.com/place-photos/AEkURDxpOvDBOmZ018bo9B1Yyv3iJbJg8-c_nYxILlYDeGfEFzOz24AMcA2B-MgDGiDYfcV4-mWmcYG34u6rMLZaF2K9EJ_LU4BtBtkhUzUnhpK0UBnm1EWchZwnKfwOcuTcC5BIQbm1MTLGhovsew=s4800-w4000-h3000
6,6,6,7,h002119_69480,126.9679786,33.4976092,2023-07-29 11:23:00,h_h002119,2,제주특별자치도 제주시 우도면 연평리 317-4,제주특별자치도,제주시,우도면 연평리,지미스,http://place.map.kakao.com/25551224,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDzH9ADxKumM46XedrZnfNZcYmJ09KxZjEBFw9buqioDoN38355RvyempjUQBqQ7cISyEBenj7LebYlxYHxXGrf8HXyYWz059EMNsA61yDglRP2f-21mmDJCl2P2UM-r-5SofQVm9SOP-cXW64IlXT6ZHg=s4800-w4800-h3600
7,7,7,8,h002119_69480,126.9568767,33.5131229,2023-07-29 14:18:00,h_h002119,2,제주특별자치도 제주시 우도면 연평리 1287-2,제주특별자치도,제주시,우도면 연평리,섬소나이,http://place.map.kakao.com/24213584,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDyq59KE7KjONa3i15QfaKALVBOF3HaCk-Qe62Q3aF_VMvGH9aIf1IvmGzzXmAeuOLAej-AXZsM6ebH7AjdDfmFONEjNPhVD10y-18XIKWYFWau2Mmu9nLbaqFW5EEkqvBGUHfr3K7kXGL0kAPc=s4800-w2880-h2160
