,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PHOTO_URL,PLACE_URL,PLACE_CAT
0,0,0,0,h000025_56028,126.22642398823632,33.388412324742845,2023-05-19 05:31:00,h_h000025,1,제주특별자치도 제주시 한림읍 금능5길 9,제주특별자치도,제주시,한림읍,카페이면,https://lh3.googleusercontent.com/place-photos/AEkURDx3ao8d4w-IZ9HixFTIayo6LoQ1u0QS0SPuVqRyDRqijJdUBmZbCkVkC_X84k_cY5_eH0pH_7v_HqJT-TLgZsmcM4cPIynk-nzYInDpSETS84ypkzn9UKo_Ri6bEnafLZ53DX3Wot3gOB_coQ0=s4800-w4032-h2881,http://place.map.kakao.com/168239431,카페
1,1,1,1,h000025_56028,126.17412902680688,33.342466047311255,2023-05-19 11:31:00,h_h000025,1,제주특별자치도 제주시 한경면 신창리 1323-2,제주특별자치도,제주시,한경면 신창리,신창풍차해안도로,https://lh3.googleusercontent.com/places/ANXAkqGW_loIdxtlTM45h8GlZggn18m_GXVENXijLvHXUbP7APgRb_7N4Pu4j2tmjiZWC7UapHFKWs43ga0cVwBuYs7MjR-B-804yCg=s4800-w1080-h608,http://place.map.kakao.com/26239274,관광명소
2,2,2,2,h000025_56028,126.19934438232036,33.364457102862545,2023-05-19 13:03:00,h_h000025,1,제주특별자치도 제주시 한경면 판포리 2867-1,제주특별자치도,제주시,한경면 판포리,퐁당라면,https://lh3.googleusercontent.com/places/ANXAkqEDFSjVD8TG9tagH6KugFrYYg_M3BT7srTZcpPJyJN8NFQXjWl1cLhjyzDX1waa1CEymHefMIIphzRehLzHgDDKTqPYOljf7vQ=s4800-w4032-h3024,http://place.map.kakao.com/1177758484,음식점
3,3,3,3,h000025_56028,126.23473374361862,33.339891698127616,2023-05-19 14:25:00,h_h000025,1,제주특별자치도 제주시 한경면 조수리 44-3,제주특별자치도,제주시,한경면 조수리,유람위드북스,https://lh3.googleusercontent.com/place-photos/AEkURDywPBUmnLpWmDcGoUJDdD6zEvWOtRW7PVJsxfjAlPTE9k8nFofyg8BSv590pSnXUwezcaZ_JJKwv4ihMapnzWQHFR8Mnd_w3w8Pdw55mU5KavMfbd21U9Iq-xxSjHGUXFmYosSiBlrDb87THw=s4800-w4656-h2218,http://place.map.kakao.com/528690715,카페
4,4,4,5,h000025_56028,126.29653643128286,33.35867396708097,2023-05-19 17:23:00,h_h000025,1,제주특별자치도 제주시 한림읍 금악리 2096-20,제주특별자치도,제주시,한림읍 금악리,금악리 자양식당,https://lh3.googleusercontent.com/place-photos/AEkURDzcd9ziJnEpxDokxnZGzNm0q22UQzeboO8jVqIVaftdvcbddiLs-I2FOslVT6ZkvW9MY2OjHdMph_9H6adNaZFhkmoT4NZEAcoLj8ktnx8-HjCA01fYGF1oap9pX2Mbrp4i5mL-2HmuSI3I=s4800-w4032-h1908,http://place.map.kakao.com/1103468485,음식점
5,5,5,6,h000025_56028,126.32126909742948,33.45993940886162,2023-05-19 17:54:00,h_h000025,1,제주특별자치도 제주시 애월읍 애월리 1378-7,제주특별자치도,제주시,애월읍 애월리,애월브레드,,http://place.map.kakao.com/1961719530,음식점
6,6,6,7,h000025_56028,126.32665724847972,33.45432049043588,2023-05-19 18:50:00,h_h000025,1,제주특별자치도 제주시 애월읍 애월리 2628,제주특별자치도,제주시,애월읍 애월리,포근,https://lh3.googleusercontent.com/place-photos/AEkURDzZPlKboZm3-ZpG5JDuCYC2TgjmkWMsBrPsOMB76cxMYa4jE8w0fHWXAMIdMSjpeoq9pmnYbIgJbrwLpSoyQ6DrG3iQbGLrWYAzAhAW1_C3SKWdahMgoNhLbE3CQPLo19fY0NLZtX-uCnl1_jw=s4800-w3000-h4000,http://place.map.kakao.com/1104246453,숙박
7,7,7,8,h000025_56028,126.24248810875126,33.396556835312936,2023-05-19 20:12:00,h_h000025,1,제주특별자치도 제주시 한림읍 협재1길 11,제주특별자치도,제주시,한림읍,수우동,https://lh3.googleusercontent.com/place-photos/AEkURDz05lgosmvONl2cxmINzL4fgpj8NCWsgXTp5aivO65DwQ30n0WVe2x_vLTfF1og5ULy83o--Ky90Umq8_fgKvfRmSlzG3BYZifnvYr3FKFfNN62lqkpMVBDhwgd3fouz9cJSLT2_jIM7nlxcpE=s4800-w1440-h1080,http://place.map.kakao.com/24910644,음식점
8,8,8,9,h000025_56028,126.32022468333336,33.46445168333333,2023-05-20 12:29:00,h_h000025,2,제주특별자치도 제주시 애월읍 애월리 2628,제주특별자치도,제주시,애월읍 애월리,숙이네보리빵,https://lh3.googleusercontent.com/place-photos/AEkURDyTZLevBl25kFgayDtUBdrSDPURD5eB_jQ3BvvfUjBhNKX_zpQI5jVNeW20-_vAgF1IkRTgV-NnYXEI7KRzIUXAFch8FG7EtEu-wRi-5ZWTDzR2uKWClsFlje3vDo0_G9n4Tmbl45Pk3_HupQ=s4800-w3024-h4032,http://place.map.kakao.com/8449037,음식점
9,9,9,10,h000025_56028,126.30924694135344,33.46312960334022,2023-05-20 13:51:00,h_h000025,2,제주특별자치도 제주시 애월읍 애월리 2546,제주특별자치도,제주시,애월읍 애월리,애월카페거리,https://lh3.googleusercontent.com/place-photos/AEkURDxd0Jeq_5IGT-4rhYbkpDwED3QEN_q683jEnzDOjNl4QHc0xEYN0Lmy4P44iTpL4ctnZ7Mei-i9kn4GoHI7Zhc6zrLMYyBlDfsmTmmPixrRWv8gWt65LsumvkrIyg3-D42-LUB29XMvb_1aGrA=s4800-w4032-h3024,http://place.map.kakao.com/1134184953,관광명소
10,10,10,11,h000025_56028,126.31108966666666,33.46246886666667,2023-05-20 14:10:00,h_h000025,2,제주특별자치도 제주시 애월읍 애월리 2494-2,제주특별자치도,제주시,애월읍 애월리,한담컬쳐,https://lh3.googleusercontent.com/places/ANXAkqEhMFz84pz3kZwSumLH6mLDtyVK7x1EuG1Z3PHtoKoZ0CIpL3-O-NF_770FUZXm-1wYB0JR9hbr9EpqxtmLCukn1KBw1pcEBYA=s4800-w1080-h600,http://place.map.kakao.com/517188017,문화시설
11,11,11,12,h000025_56028,126.34881261473252,33.473012918015726,2023-05-20 16:12:00,h_h000025,2,제주특별자치도 제주시 애월읍 고내리 342,제주특별자치도,제주시,애월읍 고내리,애월 우니담,https://lh3.googleusercontent.com/places/ANXAkqF4eHja9RDfUAU8RcJJ6Pt1tGRxXs0J8bOYMyrHXo9jfiwgMeD55VAYxfK-7D3EMSei-Xy--D1nQVUBTtshn1tMOY7XlSK0QP4=s4800-w3000-h2000,http://place.map.kakao.com/517851086,음식점
12,12,12,13,h000025_56028,126.31095103333334,33.458860200000004,2023-05-20 18:53:00,h_h000025,2,제주특별자치도 제주시 애월읍 곽지리 2495,제주특별자치도,제주시,애월읍 곽지리,고이정 본점,https://lh3.googleusercontent.com/places/ANXAkqFFUGrZoeBv2ifHeMFPzZLrSkbTmxhbNnZH4RuwSjCiaSG1gJYVB9q-cCuyBnSZyMsZhcADnOEfaYJwNuZXIz_pEX6mcHUlo9M=s4800-w1476-h985,http://place.map.kakao.com/2030021121,음식점
