,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PHOTO_URL,PLACE_URL,PLACE_CAT
0,0,0,0,h000476_60984,126.29979396719236,33.447154407992066,2023-06-05 00:38:00,h_h000476,1,제주특별자치도 제주시 애월읍 금성리 569-4,제주특별자치도,제주시,애월읍 금성리,금성브릿지민박펜션,,http://place.map.kakao.com/829410378,숙박
1,1,1,1,h000476_60984,126.30189346522732,33.444944517131695,2023-06-05 10:41:00,h_h000476,1,제주특별자치도 제주시 애월읍 금성리 1151,제주특별자치도,제주시,애월읍 금성리,CENACULUM JEJU,,http://place.map.kakao.com/313999950,숙박
2,2,2,3,h000476_60984,126.3063735902687,33.447125466139035,2023-06-05 14:05:00,h_h000476,1,제주특별자치도 제주시 애월읍 곽지리 2050-2,제주특별자치도,제주시,애월읍 곽지리,BBQ 제주곽지해수욕장점,https://lh3.googleusercontent.com/places/ANXAkqGKnrGjA4ykxC__VFQfDrIKaLieH4VotdOL4AFLDgJs3F_f4w90BOxhJS80MIAhYhBhSuKd5XNyfz5K5RGSLahkKPDfe34fZAk=s4800-w1490-h1120,http://place.map.kakao.com/696251125,음식점
3,3,3,4,h000476_60984,126.40311046449108,33.48020280024413,2023-06-05 16:30:00,h_h000476,1,제주특별자치도 제주시 애월읍 하귀로 52-1,제주특별자치도,제주시,애월읍,옛날국수집,https://lh3.googleusercontent.com/place-photos/AEkURDxGCgl9-PE0afdIq-39RS2-mXa-7O4mtt3eoEIgPcJ6_savBd1syS2a2XjnDsBaY5TSTbOtsLoySRF_gKPH6vksUEkwQ9B8ELibpwie_CSAPpoIWxXb8IWs6rNEJPoPtJiL_8cq-iba2WEsTA=s4800-w4624-h3468,http://place.map.kakao.com/1796418844,음식점
4,4,4,5,h000476_60984,126.3140236107044,33.4625824498499,2023-06-05 17:47:00,h_h000476,1,제주특별자치도 제주시 애월읍 애월리 2158-2,제주특별자치도,제주시,애월읍 애월리,제주슈프림,https://lh3.googleusercontent.com/place-photos/AEkURDzQWppiaZUU5k1ilZnewJkhsnLlNQ7cpmi1IrOk201aKbAuL2QZm15mtv5Dn7QE_4sv6Eah_09S7xKD8YzzoPB48qWj8aH8qsF_nisCbuTfHnArWx8MBOaYTyfGKxpRl9I9TcuVbBM-VIQS6vc=s4800-w2560-h1440,http://place.map.kakao.com/345892858,음식점
5,5,5,6,h000476_60984,126.3350733026754,33.46638827376271,2023-06-05 20:09:00,h_h000476,1,제주특별자치도 제주시 애월읍 고내리 1214,제주특별자치도,제주시,애월읍 고내리,고내해변,https://lh3.googleusercontent.com/place-photos/AEkURDyU7nxGfjIe8j-u5mEBAEWnUi2Qo0rxjJ_nkubjg914Ao2utFmOBWG-CoO4NTzdTgc5VpFvY_wqd2hXRPAgCER7I78KCheXWKR-i6Yb2ga3t7QFr_jqZoFgkwycn-eaEvUu4olkhVCpL8E5Ug=s4800-w4032-h2268,http://place.map.kakao.com/345010245,관광명소
6,6,6,7,h000476_60984,126.33422091225287,33.46536683794265,2023-06-05 20:36:00,h_h000476,1,제주특별자치도 제주시 애월읍 고내리 1370,제주특별자치도,제주시,애월읍 고내리,마틸다,https://lh3.googleusercontent.com/place-photos/AEkURDwNGnWfitkgw_UPtK4wxGjwYm6jyuzpeNWPHwJiJ9T2ThS68vTdWy_2YeSqgWH8Ghp2UUur9fQfhxDzkhmL5azWj3450M4hyGlzpTjqYDb7o-5bRY6FI5kRTVWnjSy54pNBryFxGolnogTvRCg=s4800-w4032-h3024,http://place.map.kakao.com/26463066,카페
7,7,7,8,h000476_60984,126.51980230201951,33.51150562202693,2023-06-06 07:08:00,h_h000476,2,제주특별자치도 제주시 삼도이동 1227-7,제주특별자치도,제주시,삼도이동,우진해장국,https://lh3.googleusercontent.com/place-photos/AEkURDw7FtwBr10F-MV6tSTIDsl9bJePMLicphKddcwa2d01HRKwUxcJSAXcdvHht8g3A62kbZMBz-DaYm7TPRphAMmbqSU0XQGbGvxT71V1xnk8SOjso6FVGlS4eUTcniKallUuMW6EuhpewDzJGw=s4800-w4160-h3120,http://place.map.kakao.com/11547525,음식점
