,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT,PHOTO_URL
0,0,0,0,h001865_68114,126.4984716,33.2369004,2023-07-16 12:01:00,h_h001865,1,제주특별자치도 서귀포시 선반로65번길 37-31,제주특별자치도,서귀포시,,에이바우트커피뷰 강정점,http://place.map.kakao.com/1434835873,카페,https://lh3.googleusercontent.com/place-photos/AEkURDwEm9Og8EtSBVOCTHW7R6LMv11rEo-3iXZniEFWv00rrtUR4SW0f8mg9g5Q5fYORnf5AJy7ISgbObVSzstnNVUjfGU5ZwAJwGVFXXNIia6DS5WzlNxWqSXHFAs_F88PNLuHfhSCA2Wiws8TEsU=s4800-w4000-h1868
1,1,1,1,h001865_68114,126.4836072,33.2648889,2023-07-16 23:19:00,h_h001865,1,제주특별자치도 서귀포시 용흥로66번길 158-8,제주특별자치도,서귀포시,,더시에나리조트 일캄포,http://place.map.kakao.com/1810621012,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDza7OBcyHdWjGCOKLh6YOiAUYOjW9rzmKonV29J5fSCWJsXIwY1Au6iNSWdrZh779mYsw_Xw70FIXUVhIs7YGlSDIZZi40WqgS0ZXgtLgD6VmgGAehlUujenIf3CX7hKVvQG0YOVLWypTpC1_Y=s4800-w2419-h1814
2,2,2,2,h001865_68114,126.4843157,33.2662008,2023-07-17 09:50:00,h_h001865,2,제주특별자치도 서귀포시 용흥로66번길 158-7,제주특별자치도,서귀포시,,까보스코 레스토랑,http://place.map.kakao.com/1899977059,음식점,https://lh3.googleusercontent.com/places/ANXAkqFny0GFVwa1WH6EoBBZxILbGWvWCNpndQwqSQdFJ7rNd-mVjyxUH2b9zpwPabo1wld0bca3Qx3uuKTghJ8oTJW3Jpwxz3kpT2c=s4800-w1280-h619
3,3,3,4,h001865_68114,126.3336987,33.3096569,2023-07-17 21:09:00,h_h001865,2,제주특별자치도 서귀포시 안덕면 동광리 1393-16,제주특별자치도,서귀포시,안덕면 동광리,홍회장보말칼국수,http://place.map.kakao.com/2037249271,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDwSdbvYsbSbjN9EPqKHT9PXXWKeJOJHbfosP2yNCQBxpeCkJh_oyw3gZLk3usLiuZKhON4kp4APC7cf025pOF7_eIpKuYC1HgqvLJTO1FFupOxeEv6Nb776U7NUp4BevpZKybdpVtkm_iUZc2w=s4800-w4160-h2340
