,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT,PHOTO_URL
0,0,0,0,h002263_70135,126.5189522797551,33.51548859837417,2023-07-14 16:11:00,h_h002263,1,제주특별자치도 제주시 삼도이동 1159-22,제주특별자치도,제주시,삼도이동,도토리키친 본점,http://place.map.kakao.com/158548436,음식점,https://lh3.googleusercontent.com/places/ANXAkqEGdcEiJYSqCCw_Behia1OtIMWKyPgcv39jHTDpj4gVyiuNgLcuWV-UuflKsUXistMp8zrTe6d8H0TRVn8AQccqfhahP9pWjns=s4800-w3024-h3024
1,1,1,1,h002263_70135,126.52483737393972,33.51549200876191,2023-07-14 16:41:00,h_h002263,1,제주특별자치도 제주시 일도일동 1499,제주특별자치도,제주시,일도일동,남양통닭,http://place.map.kakao.com/8877786,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDwpIwhURp3m80ygHXbZF0rrEEMHa0kz8PcVwg2NGzuYF9hVtsmMB39ddvH5ys6lLW2K-WVA4MH6qoxRxSzwB-RGZ_Ho9SWp5Xja0g4EyFcAMuigVR0pAX4Z4f0ufjR0zeETlMYnPRoqCTAwjg=s4800-w4000-h3000
2,2,2,2,h002263_70135,126.54761513120091,33.49551364875536,2023-07-14 18:07:00,h_h002263,1,제주특별자치도 제주시 이도이동 150-1,제주특별자치도,제주시,이도이동,한라산쑥찐빵,http://place.map.kakao.com/14506579,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDzaGOkWCG9jzGRP-pNk764PnixcYtWUmHEv5Z1i8LAFy2Jn7pFlD_Dvf4Lb4etUNjBIrk-IrgzOgI7o1CA8EweeuJixiR-K4IcI2UieCzIke6QJ7Dl4xgDLhqY4l5t1bdndqoT8FNjQT6n2Rg=s4800-w4000-h3000
3,3,3,4,h002263_70135,126.34093467610458,33.31049339270047,2023-07-14 19:58:00,h_h002263,1,제주특별자치도 서귀포시 안덕면 동광리 1583,제주특별자치도,서귀포시,안덕면 동광리,청춘당꽈배기 서부점,http://place.map.kakao.com/1412427404,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDwJ6TaUse0w_iJVjb3siwWw2gZGX4hvsaMd0dpqCmo52de3lIKczFH3f8icEslRJCd5hX3r0Lv4bLoEAa0dPe7cMfSaJ3vNuCs67QEba8B7coXB3jLxdEqHBJTBoEBrBuSVBWuG-BYWTELd=s4800-w3000-h4000
4,4,4,5,h002263_70135,126.56571092130726,33.24567020721843,2023-07-15 02:04:00,h_h002263,2,제주특별자치도 서귀포시 서귀동 544-2,제주특별자치도,서귀포시,서귀동,럭키상회 서귀포점,http://place.map.kakao.com/1199578872,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDx-v-gYyIBbD7kGKG8I-OwXgM7_X7mxQAxUAjnMYfimlaMCwE4wjuBfl7oSIfJHiAUMliol8yZxPrt9Pziv08EESC1ENwEtas8P460vZgE3CxRRTT4pii0vg53GgeTJemxGb9f5xfpr7q4AcTjGX1LSFg=s4800-w3024-h4032
5,5,5,6,h002263_70135,126.56586612924686,33.24592349177928,2023-07-15 02:24:00,h_h002263,2,제주특별자치도 서귀포시 태평로431번길 3,제주특별자치도,서귀포시,,깡촌흑돼지 서귀포점,http://place.map.kakao.com/111366005,음식점,https://lh3.googleusercontent.com/places/ANXAkqG8Z6EzkZhrREMyssgE9dhJ7a-RafTSeCGM8Ys8DFtCg8XPxxjW56IU-3DLuUjAGqFLKqQ5iB04gy7ocm1X1u7O9lyKgPGP0-A=s4800-w3283-h2189
6,6,6,7,h002263_70135,126.56704710999996,33.245586389999985,2023-07-15 03:36:00,h_h002263,2,제주특별자치도 서귀포시 소암로 13,제주특별자치도,서귀포시,,소암기념관,http://place.map.kakao.com/11405069,문화시설,https://lh3.googleusercontent.com/place-photos/AEkURDz5uu22IsJQkQcr2Cv9VEaRjYLAyM8vyRifbM_83qLHjyWr-SOdQ5FiEaJIMngK6ZHU86gyEg2JwqkHPRdpR27R34PXhgLp3D0UowxtxfaCOKIarTtzH0f-f5a8XkNrh-VlV7aimrX2nu7Fb-g=s4800-w4032-h3024
7,7,7,8,h002263_70135,126.34504523601622,33.396443275508425,2023-07-15 10:20:00,h_h002263,2,제주특별자치도 제주시 애월읍 어림비로 478,제주특별자치도,제주시,애월읍,아르떼뮤지엄 제주,http://place.map.kakao.com/1508345156,문화시설,https://lh3.googleusercontent.com/places/ANXAkqE3P-YWhhgdG1cvaBPGZRWKVcRiWtJwOF0h12KDjSZs8O0Bzv5u5sceDf1zeUt_ylZk3VSvqgQdOy4r4ntRG7DGMh0pwU284Ys=s4800-w1200-h750
8,8,8,9,h002263_70135,126.36411430623284,33.361244979258494,2023-07-15 11:58:00,h_h002263,2,제주특별자치도 제주시 애월읍 봉성리 4553-5,제주특별자치도,제주시,애월읍 봉성리,새별프렌즈,http://place.map.kakao.com/336100555,관광명소,https://lh3.googleusercontent.com/place-photos/AEkURDyDDrpDolNx_6G15yPA7lVR2UAo8P2lF5ClOA3Ni-D8_RG8eqQl1Y5lIPWC6pOvBNmj3WdKl3XhjigRtaePvDpqEWVovejZfClV9ZrFB1_FB4dL70TgdpohoJYPV9uJBzrheDcxVjZ1dm1fmA=s4800-w4032-h3024
9,9,9,10,h002263_70135,126.38591929235623,33.31925637773658,2023-07-15 12:53:00,h_h002263,2,제주특별자치도 서귀포시 안덕면 산록남로 788,제주특별자치도,서귀포시,안덕면,포도뮤지엄,http://place.map.kakao.com/8229205,문화시설,https://lh3.googleusercontent.com/places/ANXAkqGXWE3eTny3iicAj0dgp_sBf7Zs1cpKNN55unw_NYnJT3s4yBkeCLVLyzd3Oovyh_ev22Yq4seuoSWNgb3KzhSQ9THHeJIBBbY=s4800-w3126-h4430
10,10,10,11,h002263_70135,126.83585774304484,33.32577578114948,2023-07-15 15:28:00,h_h002263,2,제주특별자치도 서귀포시 표선면 표선리 858-7,제주특별자치도,서귀포시,표선면 표선리,장수버섯샤브샤브 표선점,http://place.map.kakao.com/1129713574,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDy3r5ZKWxLWgKWQ9o8mtg-4f8ZQoHAd3gag7mn7leOUhNhYDyRLPCa0FjoVJigeThxdkvQBo1QM1YmiLTOkhxpb8pxDQSHj8hz5L4y_a6vOjhKiHZu4_ckVSeBi7nAA16qMZsem88xAABrAUhE=s4800-w3024-h4032
11,11,11,12,h002263_70135,126.86274738168906,33.52241124559624,2023-07-15 18:41:00,h_h002263,2,제주특별자치도 제주시 구좌읍 상도리 471-44,제주특별자치도,제주시,구좌읍 상도리,만원의행복뷔페,http://place.map.kakao.com/704140978,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDzsEmdTGqPpiIsp7BihWGD3f8pVDTb-S93rvML3NGot1ZcdfU2P_zGnKs9YGZHUMbjzYg2s2N65-hOdMSBpiMZ7gdPg07B7HDuaMvGPM3ZhnXK3J5k1xXEVD9qvfYuWVwUh9KHF5FShjr25LQ=s4800-w4032-h3024
12,12,12,13,h002263_70135,126.71684536525044,33.55209488555275,2023-07-16 02:37:00,h_h002263,3,제주특별자치도 제주시 구좌읍 일주동로 1724,제주특별자치도,제주시,구좌읍,까페드메종,http://place.map.kakao.com/21513135,카페,https://lh3.googleusercontent.com/place-photos/AEkURDxbQwRjKueFbtdHmQwN_YAeScbEFWxkgOC6R-1sDtgJ9RY-vuPL6NuZn6DWMSSw2kSfy95S2Q3B79Ni3ootzH7_FMdLQup89Gg63UDGLn6bIrAzotMI_G0nM6f4rJJj8-CaToGJFDmjXf4c=s4800-w2983-h3977
13,13,13,14,h002263_70135,126.86257541791964,33.523798248857965,2023-07-16 11:12:00,h_h002263,3,제주특별자치도 제주시 구좌읍 상도리 471-34,제주특별자치도,제주시,구좌읍 상도리,돌담통닭,http://place.map.kakao.com/912449871,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDyjv8iXVXuczseNgVbjRdQ2BNPWFaXQzoz0SFOvNPifueeqR4G64fCpLRrcj4KC3AmUwwB_3A6XGWu7bcnGrKGvCkm1qbN2zOnq0f-ZZyMk8QU55bxFiARhAA3dhdRqG4I3kX-KDpY7M32EzoM=s4800-w3000-h4000
14,14,14,15,h002263_70135,126.45546133641754,33.464653571167545,2023-07-16 14:22:00,h_h002263,3,제주특별자치도 제주시 해안동 2137-1,제주특별자치도,제주시,해안동,노형수퍼마켙,http://place.map.kakao.com/1209632068,문화시설,https://lh3.googleusercontent.com/places/ANXAkqEG1h0JScDTl3rTmlqnrlUFp2VOhpLxOe4EAYb90sgwUJONlHcxVz6fIRQhcSd0mBKPWoqkgxHvAxI3wv_cpcG8_eCZjCGsJf4=s4800-w1080-h1080
15,15,15,16,h002263_70135,126.44608553143765,33.493929240802814,2023-07-16 17:34:00,h_h002263,3,제주특별자치도 제주시 내도동 378-3,제주특별자치도,제주시,내도동,제주밀당,http://place.map.kakao.com/1867428268,음식점,https://lh3.googleusercontent.com/places/ANXAkqGTqNKM2dNQKFjNkDjIo1w98yDQnxtObakBQi6EI9K-9TeM1QwnvBUC0leJ8HCDkg-Z5NgdN58tIMTMvkQFiEwhOortW9jJwNk=s4800-w4800-h3200
