,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT
0,0,0,h005308_94656,126.56606442667903,33.24820914154507,2023-08-26 20:47:00,h_h005308,1,제주특별자치도 서귀포시 서귀동 204-50,제주특별자치도,서귀포시,서귀동,모루쿠다 서귀포점,http://place.map.kakao.com/1626708928,음식점
1,1,1,h005308_94656,126.56591459778524,33.2459318547702,2023-08-27 10:51:00,h_h005308,2,제주특별자치도 서귀포시 서귀동 544-2,제주특별자치도,서귀포시,서귀동,럭키상회 서귀포점,http://place.map.kakao.com/1199578872,음식점
2,2,2,h005308_94656,126.51414322985488,33.24949864006818,2023-08-27 11:45:00,h_h005308,2,제주특별자치도 서귀포시 서호남로 20,제주특별자치도,서귀포시,,양혜란식당,http://place.map.kakao.com/1056310600,음식점
3,3,3,h005308_94656,126.52427636597254,33.24675702109443,2023-08-27 12:35:00,h_h005308,2,제주특별자치도 서귀포시 서호동 137-3,제주특별자치도,서귀포시,서호동,전원일기 본점,http://place.map.kakao.com/301891007,음식점
4,4,5,h005308_94656,126.56656849268543,33.245883989652334,2023-08-27 18:19:00,h_h005308,2,제주특별자치도 서귀포시 서귀동 166-1,제주특별자치도,서귀포시,서귀동,깡촌흑돼지 서귀포점,http://place.map.kakao.com/111366005,음식점
5,5,6,h005308_94656,126.60022845670277,33.23933938724618,2023-08-27 18:42:00,h_h005308,2,제주특별자치도 서귀포시 보목로 47,제주특별자치도,서귀포시,,오소록헌디펜션,http://place.map.kakao.com/305526139,숙박
6,6,7,h005308_94656,126.56692299443374,33.246001605669846,2023-08-27 20:32:00,h_h005308,2,제주특별자치도 서귀포시 서귀동 166-3,제주특별자치도,서귀포시,서귀동,오돈가,http://place.map.kakao.com/2046167040,음식점
7,7,8,h005308_94656,126.39922684228932,33.429491529024894,2023-08-28 15:12:00,h_h005308,3,제주특별자치도 제주시 애월읍 하소로 611-42,제주특별자치도,제주시,애월읍,우굼,http://place.map.kakao.com/977992229,음식점
8,8,9,h005308_94656,126.56627933593929,33.2494353994435,2023-08-28 20:20:00,h_h005308,3,제주특별자치도 서귀포시 서귀동 340,제주특별자치도,서귀포시,서귀동,다정이네 올레시장본점,http://place.map.kakao.com/21473782,음식점
9,9,10,h005308_94656,126.5632512355437,33.24920750677111,2023-08-29 15:56:00,h_h005308,4,제주특별자치도 서귀포시 서귀동 340,제주특별자치도,서귀포시,서귀동,마농치킨 본점,http://place.map.kakao.com/11291724,음식점
10,10,11,h005308_94656,126.44405350373891,33.28607921389625,2023-08-29 18:07:00,h_h005308,4,제주특별자치도 서귀포시 1100로 453-95,제주특별자치도,서귀포시,,WE호텔 다채,http://place.map.kakao.com/90843695,음식점
11,11,12,h005308_94656,126.43376782145232,33.49401580971759,2023-08-30 12:49:00,h_h005308,5,제주특별자치도 제주시 외도이동 2552-28,제주특별자치도,제주시,외도이동,앨범 외도,http://place.map.kakao.com/1659085508,음식점
