,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT
0,0,0,h002311_70465,126.4969758589876,33.499071356883164,2023-07-14 13:07:00,h_h002311,1,제주특별자치도 제주시 용담이동 1716-2,제주특별자치도,제주시,용담이동,라운지제주스테이,http://place.map.kakao.com/714842497,숙박
1,1,1,h002311_70465,126.50423643713832,33.51077482694133,2023-07-14 15:51:00,h_h002311,1,제주특별자치도 제주시 용담이동 896-24,제주특별자치도,제주시,용담이동,꼴두바위해장국,http://place.map.kakao.com/13080439,음식점
2,2,2,h002311_70465,126.47103352628642,33.5090178158821,2023-07-14 16:53:00,h_h002311,1,제주특별자치도 제주시 도두일동 1734,제주특별자치도,제주시,도두일동,도두동무지개해안도로,http://place.map.kakao.com/581695647,관광명소
3,3,3,h002311_70465,126.46999648488972,33.507852170307785,2023-07-14 17:07:00,h_h002311,1,제주특별자치도 제주시 도두일동 1741-5,제주특별자치도,제주시,도두일동,일도전복 제주공항점,http://place.map.kakao.com/184748805,음식점
4,4,4,h002311_70465,126.23978757503735,33.39286030054306,2023-07-14 18:32:00,h_h002311,1,제주특별자치도 제주시 한림읍 협재리 2872,제주특별자치도,제주시,한림읍 협재리,협재화덕 도나토스 DONATO'S,http://place.map.kakao.com/22509774,음식점
5,5,5,h002311_70465,126.32275949194172,33.461507788453346,2023-07-14 21:14:00,h_h002311,1,제주특별자치도 제주시 애월읍 애월리 1415-1,제주특별자치도,제주시,애월읍 애월리,7번가피자 제주애월점,http://place.map.kakao.com/1712356254,음식점
6,6,6,h002311_70465,126.48987158109138,33.486141076596766,2023-07-14 22:09:00,h_h002311,1,제주특별자치도 제주시 연동 262-17,제주특별자치도,제주시,연동,화수목보리짚불구이 연동점,http://place.map.kakao.com/459628618,음식점
7,7,7,h002311_70465,126.49042517957754,33.48788399896567,2023-07-14 22:26:00,h_h002311,1,제주특별자치도 제주시 연동 272,제주특별자치도,제주시,연동,서서방숯불닭갈비 본점,http://place.map.kakao.com/1432881641,음식점
8,8,8,h002311_70465,126.49038280375817,33.48694004964571,2023-07-14 23:13:00,h_h002311,1,제주특별자치도 제주시 연동 273,제주특별자치도,제주시,연동,신화의거리,http://place.map.kakao.com/21059447,관광명소
9,9,9,h002311_70465,126.49028774399544,33.48573704008582,2023-07-14 23:28:00,h_h002311,1,제주특별자치도 제주시 노연로 94,제주특별자치도,제주시,,누웨마루거리,http://place.map.kakao.com/21811778,관광명소
10,10,10,h002311_70465,126.48862519837223,33.48549261327998,2023-07-15 02:40:00,h_h002311,2,제주특별자치도 제주시 노연로 80,제주특별자치도,제주시,,삼다정,http://place.map.kakao.com/1612374801,음식점
11,11,11,h002311_70465,126.52867056288804,33.49899184573715,2023-07-15 12:35:00,h_h002311,2,제주특별자치도 제주시 이도이동 1769-8,제주특별자치도,제주시,이도이동,호근동,http://place.map.kakao.com/10986589,음식점
12,12,12,h002311_70465,126.52319983147925,33.51316063996006,2023-07-15 13:09:00,h_h002311,2,제주특별자치도 제주시 관덕로 지하 38,제주특별자치도,제주시,,갤러리 세이브,http://place.map.kakao.com/976218792,문화시설
13,13,13,h002311_70465,126.75541883060912,33.45400634331672,2023-07-15 14:11:00,h_h002311,2,제주특별자치도 제주시 구좌읍 송당리 2813,제주특별자치도,제주시,구좌읍 송당리,비밀의숲,http://place.map.kakao.com/82389937,관광명소
14,14,15,h002311_70465,126.48010415804588,33.4913407735103,2023-07-15 20:29:00,h_h002311,2,제주특별자치도 제주시 노형동 1297-3,제주특별자치도,제주시,노형동,노형토종닭,http://place.map.kakao.com/1819538596,음식점
15,15,16,h002311_70465,126.4885893630357,33.4858284016457,2023-07-15 20:43:00,h_h002311,2,제주특별자치도 제주시 연동 263-15,제주특별자치도,제주시,연동,거부갈비,http://place.map.kakao.com/1957836536,음식점
16,16,17,h002311_70465,126.48844691022876,33.4856726716945,2023-07-16 09:46:00,h_h002311,3,제주특별자치도 제주시 노연로 80,제주특별자치도,제주시,,하이디라오 제주도점,http://place.map.kakao.com/1143177072,음식점
