,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT
0,0,1,h005154_92859,126.5356925,33.3612088,2023-08-25 10:29:00,h_h005154,1,제주특별자치도 서귀포시 상효동 산 1-2,제주특별자치도,서귀포시,상효동,한라산 동능,http://place.map.kakao.com/21652441,관광명소
1,1,2,h005154_92859,126.55346,33.251481,2023-08-25 16:25:00,h_h005154,1,제주특별자치도 서귀포시 서홍동 1194-8,제주특별자치도,서귀포시,서홍동,한옥집,http://place.map.kakao.com/17407277,음식점
2,2,3,h005154_92859,126.5572876,33.2525269,2023-08-25 17:55:00,h_h005154,1,제주특별자치도 서귀포시 서귀동 343,제주특별자치도,서귀포시,서귀동,좋은아침김밥,http://place.map.kakao.com/468773660,음식점
3,3,4,h005154_92859,126.5529987,33.2473901,2023-08-26 10:39:00,h_h005154,2,제주특별자치도 서귀포시 서홍동 562-3,제주특별자치도,서귀포시,서홍동,고부루키친,http://place.map.kakao.com/408030654,음식점
4,4,5,h005154_92859,126.7100459,33.5534066,2023-08-26 12:40:00,h_h005154,2,제주특별자치도 제주시 구좌읍 동복리 1691-2,제주특별자치도,제주시,구좌읍 동복리,촌촌해녀촌,http://place.map.kakao.com/25161006,음식점
5,5,6,h005154_92859,126.7075881,33.5534537,2023-08-26 14:08:00,h_h005154,2,제주특별자치도 제주시 구좌읍 동복리 1759,제주특별자치도,제주시,구좌읍 동복리,동복해녀식당,http://place.map.kakao.com/7843770,음식점
6,6,7,h005154_92859,126.5281699,33.5165086,2023-08-26 15:58:00,h_h005154,2,제주특별자치도 제주시 건입동 1319-36,제주특별자치도,제주시,건입동,서부두명품횟집거리,http://place.map.kakao.com/26175298,관광명소
7,7,8,h005154_92859,126.5288238,33.5126558,2023-08-26 16:56:00,h_h005154,2,제주특별자치도 제주시 일도일동 1136-2,제주특별자치도,제주시,일도일동,아베베베이커리 제주,http://place.map.kakao.com/587249375,음식점
8,8,9,h005154_92859,126.5314456,33.5131287,2023-08-26 17:42:00,h_h005154,2,제주특별자치도 제주시 일도일동 1070-21,제주특별자치도,제주시,일도일동,착한제주고등어,http://place.map.kakao.com/38455583,음식점
9,9,10,h005154_92859,126.4727763,33.5094018,2023-08-26 19:26:00,h_h005154,2,제주특별자치도 제주시 도두일동 1734-1,제주특별자치도,제주시,도두일동,어울림포차,http://place.map.kakao.com/94569251,음식점
