,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT,PHOTO_URL
0,0,0,0,h001667_67472,126.2397846,33.3927897,2023-07-05 16:56:00,h_h001667,1,제주특별자치도 제주시 한림읍 협재리 2872,제주특별자치도,제주시,한림읍 협재리,협재화덕 도나토스 DONATO'S,http://place.map.kakao.com/22509774,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDzflv3rm6W-_vAezmTjn_0FsuTuHNgwUoe_0ir7tsia3JogYxA4DgHv0vMmJYPu9PCznM_o9KXsESC-i3oz3OLIUh0RZ0NbJ85Z5kq85LTtBpp_KvXgtrfDNZg58MjDNtaB346dnWnq86ksDiw=s4800-w1080-h810
1,1,1,1,h001667_67472,126.2652814,33.4078113,2023-07-05 21:49:00,h_h001667,1,제주특별자치도 제주시 한림읍 동명리 1580-10,제주특별자치도,제주시,한림읍 동명리,이익새,http://place.map.kakao.com/628140316,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDyr0nw2lVFiGOe1lXJbFfjVH-nZDRz8NgAluASxYfTY5scqlW6uQFDABB5tZtVjS0E2UgrekmtzsrDGWyBoXu-sP7ethwstJ6jMsrhCCdvaGEnw0KdXW6cgGNTfRSKs4xF3YNpo6N9gpXgmlQ=s4800-w4032-h2268
2,2,2,2,h001667_67472,126.2633302,33.4088448,2023-07-05 22:12:00,h_h001667,1,제주특별자치도 제주시 한림읍 한림리 1568-2,제주특별자치도,제주시,한림읍 한림리,삼일식당,http://place.map.kakao.com/11139099,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDy9Yl0VlMz_XeZCgy6uKOn1B9jUItRNUNifPiPokbmrYhWY51SR2Mq8JS--9UW3cMTMHLdXcqyD39Sq3Bj2UIDOayZY8UaCYpoXUiRszp4eXer-yfeSBnt-I6wGVn9GZQPU-FgA4ysx16vJ2g=s4800-w4000-h3000
3,3,3,3,h001667_67472,126.2631936,33.3884425,2023-07-06 00:15:00,h_h001667,2,제주특별자치도 제주시 한림읍 협재리 2872,제주특별자치도,제주시,한림읍 협재리,카페귤한가,http://place.map.kakao.com/1363142355,카페,https://lh3.googleusercontent.com/place-photos/AEkURDyUtuPqWdKJkvsie-lNtvAA2pUvBB7OkVxINIrjIwn-f9hPKJBgilj3fcjZXzfJBTFd-_aaLwKCHDVMrJw52Q4t1DCIewPqaB3pG9IJT1FWytptIxOw4ObIJYcem42jsxmmGUi3ml4Av2Ke=s4800-w3024-h4032
4,4,4,4,h001667_67472,126.4053177,33.2447762,2023-07-08 11:09:00,h_h001667,3,제주특별자치도 서귀포시 중문관광로72번길 100,제주특별자치도,서귀포시,,파르나스호텔제주 콘페티,http://place.map.kakao.com/323649373,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDy2d6vionWluf2b-e2cjyFwTuU8jUtichNrJqF6DeMbiEsxlawsBqc7Ybkoxd5TEFkXaT2-HM6vReLoC66PAPkiPjqtb_D6gJg1c-Ol8sjfv56qq1RLdPSxtFR1QmBwnuSkhbmgcUfwZjdlAPYrGjP2PA=s4800-w4000-h2252
5,5,5,6,h001667_67472,126.5025389,33.5140145,2023-07-08 14:00:00,h_h001667,3,제주특별자치도 제주시 용담삼동 955,제주특별자치도,제주시,용담삼동,그냥식당,http://place.map.kakao.com/20080347,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDwG_dS_1eWLMXzzUjjU1cqdYe-bGFxmQ3D-WFaOm3kHhehIW1Df5osVYHekgbTkiYJYUVVqvSC_tiO5VdkTf7-a9qPPL7JRn3r1rZAUrfWLYVTS2B6pwtv1UEQakAQSllrEp-YtUUi1ZinBBw=s4800-w4032-h3024
