,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PHOTO_URL,PLACE_URL,PLACE_CAT
0,0,0,0,h001073_64257,126.24035226169468,33.39313063069428,2023-06-12 22:45:00,h_h001073,1,제주특별자치도 제주시 한림읍 한림로 332-1,제주특별자치도,제주시,한림읍,컨테이너야드협재타운,,http://place.map.kakao.com/26919625,관광명소
1,1,1,1,h001073_64257,126.2331251882426,33.38552248809478,2023-06-13 13:17:00,h_h001073,2,제주특별자치도 제주시 한림읍 금능리 2162-1,제주특별자치도,제주시,한림읍 금능리,고팡갤러리,https://lh3.googleusercontent.com/place-photos/AEkURDzDaSvY7F2FJPjcpgR3dGQkpC6Pwuu61ykfkCVRx8SE6Inoa92xWB-S6bImR5HyVrO7HIXfAp0sH81M2gp7l1d3K_r5C0tN_bLGI42FaKlPR8DNB4Rj9_n3WYOLtP2PrbLq0ZWFEzxkbQ22-Q=s4800-w3024-h4032,http://place.map.kakao.com/21687549,카페
2,2,2,2,h001073_64257,126.36558613305549,33.41095126048014,2023-06-13 14:17:00,h_h001073,2,제주특별자치도 제주시 애월읍 납읍리 112,제주특별자치도,제주시,애월읍 납읍리,통나무파크,https://lh3.googleusercontent.com/places/ANXAkqHBrmBordZvcB7pp-0DPLH7l-C1UBh8EZB_oVn4JXB1OKJORTvSc_QjVq9vn-VzyweKZblv3GFE9xQRAMymubov4xG_KSAatSI=s4800-w3806-h2854,http://place.map.kakao.com/21355370,숙박
3,3,3,4,h001073_64257,126.671353537629,33.54200360146215,2023-06-13 18:08:00,h_h001073,2,제주특별자치도 제주시 조천읍 함덕리 산 14-71,제주특별자치도,제주시,조천읍 함덕리,오드랑베이커리,https://lh3.googleusercontent.com/place-photos/AEkURDxHtmHis56SLR3aWe_3pFsHiMaD98oL_b7TZjYZGhPY9zolNh5FMxA5ghuq1obsldLsTfCPcZyQ-USGBl0Mvw8PTpGnMaKUEKmgMLkwg0-ajLRg3Tv-HKlK91MzRolWOXUChU3gDoXNYd_FJfB1nxtuLw=s4800-w4096-h3072,http://place.map.kakao.com/1578746387,음식점
4,4,4,5,h001073_64257,126.6569164850161,33.49939789908356,2023-06-13 19:14:00,h_h001073,2,제주특별자치도 제주시 조천읍 대흘리 1669-1,제주특별자치도,제주시,조천읍 대흘리,타무라,https://lh3.googleusercontent.com/place-photos/AEkURDxJqjIVNX81Yd7uVEAt3upz3NgmNXGOq82ar_Jtwpz3faqFxnZEUIG_RC_B2aiU0d_PAqVJOUmcQPKIvl9CjWYJLbnKiVbU0G9T-ubgDbMS0Kc7USy_fN-GzI39-SfeUyfE9AKjWni0H7XnRGE=s4800-w4000-h3000,http://place.map.kakao.com/2049233265,음식점
5,5,5,6,h001073_64257,126.23249920683496,33.388883388262585,2023-06-13 23:29:00,h_h001073,2,제주특별자치도 제주시 한림읍 금능리 1480-1,제주특별자치도,제주시,한림읍 금능리,금능샌드,https://lh3.googleusercontent.com/place-photos/AEkURDyEq6x_Vn69mRZd3FkzQTsg5FcTBhCkkVHvzqAASeZrqatUBg6sBA4vDH1EnQV7zWDkoyl751WY41FeYT3k7ml_es-RkddmECwcukjfdAkC1v2xWa4tQoRRLjj3Is6mApuLGaedApENquDObA=s4800-w3024-h4032,http://place.map.kakao.com/2133240033,음식점
6,6,6,7,h001073_64257,126.96744476880592,33.49777101201285,2023-06-14 14:39:00,h_h001073,3,제주특별자치도 제주시 우도면 우도해안길 1132,제주특별자치도,제주시,우도면,지미스,,http://place.map.kakao.com/25551224,음식점
7,7,7,8,h001073_64257,126.94472419209208,33.49666671845313,2023-06-14 15:21:00,h_h001073,3,제주특별자치도 제주시 우도면 연평리 2615,제주특별자치도,제주시,우도면 연평리,해녀의집,https://lh3.googleusercontent.com/place-photos/AEkURDyOp1QHWnknHGTBekeCSOOpKgVOK6f6-bJkhZBrgtm6XAyUSChEPKwlql6Km1lTuAfAaTnF9ADmiBnuIloj-NHWezaJ7oG-4ToEEdmsWWT5mpLaVE3wwH7NmmaiI7NiYKQ4Sfr-gJwp580_Pw=s4800-w3984-h2988,http://place.map.kakao.com/1919563216,음식점
8,8,8,9,h001073_64257,126.93554230727683,33.46261358677944,2023-06-14 18:02:00,h_h001073,3,제주특별자치도 서귀포시 성산읍 성산리 114-3,제주특별자치도,서귀포시,성산읍 성산리,꽃담수제버거,https://lh3.googleusercontent.com/places/ANXAkqEO53AgM_JDFfxwR2f9t4qZcIAoLL3DRjoOerI1zJg7qx5hf4kfO9EosxDVgdaLuyA5Wn2Bq_CvnNSAH13vqMQW9J63LedrMSY=s4800-w4000-h2250,http://place.map.kakao.com/27459317,음식점
9,9,9,10,h001073_64257,126.23156531755032,33.38850393986177,2023-06-15 09:00:00,h_h001073,4,제주특별자치도 제주시 한림읍 금능리 1467,제주특별자치도,제주시,한림읍 금능리,흴소,https://lh3.googleusercontent.com/place-photos/AEkURDzDh8X72pvmeDQYiNt7zqY9cGPMwUZM-W0NWNydVO5ixrHdqwHQYmhSJUDVC-veOC9RyXjuuW4tPlrxaK9rhwlrpqfQzZN8l-hnrPstuFOjC6tQReayRZ3DIioUDsj4v1TPFnBff3_-xu2M57Y=s4800-w4000-h3000,http://place.map.kakao.com/321708287,음식점
