,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT,PHOTO_URL
0,0,0,0,h002029_68991,126.6704273,33.5409492,2023-07-06 18:15:00,h_h002029,1,제주특별자치도 제주시 조천읍 신북로 577,제주특별자치도,제주시,조천읍,두툼한고기돈돼지,http://place.map.kakao.com/1975243507,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDxvmv0hKtqalpWWrrlvpj51cWgiqK46pjJETsdhCvf7XPWNRpXCd_-8dl8_H6WGA6_PRUqtMrzkKcbf5gKLPXFbB8khOqV_-MVcpplM8Bfv96613dsJriTDtK5YFu7gau2JnmBO2n147-HId2koF4Xy=s4800-w4000-h1848
1,1,1,1,h002029_68991,126.6723445,33.5423835,2023-07-06 18:56:00,h_h002029,1,제주특별자치도 제주시 조천읍 함덕리 272-19,제주특별자치도,제주시,조천읍 함덕리,함덕해물라면오빠집,http://place.map.kakao.com/1128256491,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDxN_nyNbnnfboB-oThwPvNtoseDEkw4dQTTTm3DkY6gjXcsS_hVXd6jAzKeNsJrowVsSWoQz08n_yW-xjFiSQsH37Aw1K8YQaL_5AUK8RIdHWV44581Hnk8LbQTzhWAD0qY59MT_OQzWAYnSA=s4800-w4032-h3024
2,2,2,2,h002029_68991,126.6703013,33.5425255,2023-07-07 08:54:00,h_h002029,2,제주특별자치도 제주시 조천읍 함덕리 산 14-58,제주특별자치도,제주시,조천읍 함덕리,함덕뚝배기,http://place.map.kakao.com/27596580,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDyzi2Qp2PHsg6U7CC1hSZ-UkhXGkNKOk9xZ9VUSpOI0MHoC8FMXI3hh1N6G2nrPpkS7S4my43b261vdJxx4iMx1Yy1cF0G1U_Uhbei1XhPEZiCGhETjahzs3rDkhD7X5i8lm0PVQHbyVuSPmeM=s4800-w3600-h4800
3,3,3,3,h002029_68991,126.6718795,33.5411771,2023-07-07 10:48:00,h_h002029,2,제주특별자치도 제주시 조천읍 신북로 577,제주특별자치도,제주시,조천읍,소노벨제주 어멍,http://place.map.kakao.com/17796669,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDxGovqULwT47qO3ry4kszP4HyV0mnWmq-DBrDLZSfY6BEhw7OkMADdvG8NtQQUkf4AhehhvvPLkKddeDTGOk6BQ_CnQPpzYEbIqFm_1COvmiwi5YhdKBvv_Q47VZeRLUuZSMPRMKBcIptvpePY=s4800-w4032-h2268
4,4,4,4,h002029_68991,126.6711124,33.542182,2023-07-07 11:04:00,h_h002029,2,제주특별자치도 제주시 조천읍 함덕리 산 14-70,제주특별자치도,제주시,조천읍 함덕리,오드랑베이커리,http://place.map.kakao.com/1578746387,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDxHtmHis56SLR3aWe_3pFsHiMaD98oL_b7TZjYZGhPY9zolNh5FMxA5ghuq1obsldLsTfCPcZyQ-USGBl0Mvw8PTpGnMaKUEKmgMLkwg0-ajLRg3Tv-HKlK91MzRolWOXUChU3gDoXNYd_FJfB1nxtuLw=s4800-w4096-h3072
5,5,5,6,h002029_68991,126.7782214,33.4438606,2023-07-07 15:30:00,h_h002029,2,제주특별자치도 제주시 구좌읍 금백조로 930,제주특별자치도,제주시,구좌읍,스누피가든,http://place.map.kakao.com/852041742,관광명소,https://lh3.googleusercontent.com/place-photos/AEkURDxSgxpPJZWhlXYYOHa3NjOayMvyar9OLBbIboofy3pd_yS07s4wSJH1pujkNf_DKba4UZeQ02xEmAKHuKb453FK2Ci-7w7jlV9GjNfVHRSqC6Mnxu2guM348ASK15dJCnL5DnmzowMH_yqqWQY=s4800-w4000-h3000
6,6,6,7,h002029_68991,126.4833194,33.265485,2023-07-07 21:55:00,h_h002029,2,제주특별자치도 서귀포시 용흥로66번길 158-7,제주특별자치도,서귀포시,,브루치오 레스토랑,http://place.map.kakao.com/1797294726,음식점,https://lh3.googleusercontent.com/places/ANXAkqELr3v2oe7AgT2-IFS2-pfnkKdW_zUAcYTG7mutK_9Du6hwCQVvEM0ty9l1Viy-eFvD6rjIhsRqzCYWmsWg182IMre7GxCobUg=s4800-w4000-h3000
7,7,7,8,h002029_68991,126.4840359,33.2655833,2023-07-08 12:09:00,h_h002029,3,제주특별자치도 서귀포시 용흥로66번길 158-7,제주특별자치도,서귀포시,,까보스코 레스토랑,http://place.map.kakao.com/1899977059,음식점,https://lh3.googleusercontent.com/places/ANXAkqFny0GFVwa1WH6EoBBZxILbGWvWCNpndQwqSQdFJ7rNd-mVjyxUH2b9zpwPabo1wld0bca3Qx3uuKTghJ8oTJW3Jpwxz3kpT2c=s4800-w1280-h619
8,8,8,9,h002029_68991,126.3453229,33.3968089,2023-07-08 14:20:00,h_h002029,3,제주특별자치도 제주시 애월읍 어림비로 478,제주특별자치도,제주시,애월읍,아르떼뮤지엄 제주,http://place.map.kakao.com/1508345156,문화시설,https://lh3.googleusercontent.com/places/ANXAkqE3P-YWhhgdG1cvaBPGZRWKVcRiWtJwOF0h12KDjSZs8O0Bzv5u5sceDf1zeUt_ylZk3VSvqgQdOy4r4ntRG7DGMh0pwU284Ys=s4800-w1200-h750
