,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT
0,0,0,h004348_81483,126.4106416342606,33.248722699463144,2023-08-19 17:22:00,h_h004348,1,제주특별자치도 서귀포시 중문관광로72번길 35,제주특별자치도,서귀포시,,롯데호텔제주 연회장,http://place.map.kakao.com/21498697,문화시설
1,1,1,h004348_81483,126.41110183380094,33.24802300853014,2023-08-19 21:13:00,h_h004348,1,제주특별자치도 서귀포시 중문관광로72번길 35,제주특별자치도,서귀포시,,롯데호텔제주 라세느,http://place.map.kakao.com/351337121,음식점
2,2,2,h004348_81483,126.41677680759751,33.258239884718606,2023-08-20 13:57:00,h_h004348,2,제주특별자치도 서귀포시 색달동 2321-3,제주특별자치도,서귀포시,색달동,고집돌우럭 중문점,http://place.map.kakao.com/1580890176,음식점
3,3,4,h004348_81483,126.4081901585074,33.247519634919826,2023-08-21 10:51:00,h_h004348,3,제주특별자치도 서귀포시 중문관광로72번길 75,제주특별자치도,서귀포시,,제주신라호텔 더 파크뷰,http://place.map.kakao.com/21287112,음식점
4,4,5,h004348_81483,126.4085209307392,33.24795413960604,2023-08-21 11:43:00,h_h004348,3,제주특별자치도 서귀포시 중문관광로72번길 75,제주특별자치도,서귀포시,,제주신라호텔 바당,http://place.map.kakao.com/13114417,카페
5,5,6,h004348_81483,126.36187949492634,33.28000371352679,2023-08-21 15:02:00,h_h004348,3,제주특별자치도 서귀포시 안덕면 상창리 1222-2,제주특별자치도,서귀포시,안덕면 상창리,aaa,http://place.map.kakao.com/1714700646,카페
6,6,7,h004348_81483,126.40783971235771,33.24904870956775,2023-08-22 13:58:00,h_h004348,4,제주특별자치도 서귀포시 색달동 3039-32,제주특별자치도,서귀포시,색달동,스위트호텔 안트레,http://place.map.kakao.com/21470553,음식점
