,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT
0,0,0,h004372_81662,126.4898919,33.4915448,2023-08-28 21:46:00,h_h004372,1,제주특별자치도 제주시 연동 260-5,제주특별자치도,제주시,연동,성심조림,http://place.map.kakao.com/1632327998,음식점
1,1,1,h004372_81662,126.4911105,33.4928896,2023-08-29 08:40:00,h_h004372,2,제주특별자치도 제주시 연동 1895-2,제주특별자치도,제주시,연동,오막집한우막창,http://place.map.kakao.com/849364707,음식점
2,2,3,h004372_81662,126.9597174,33.4936739,2023-08-29 14:19:00,h_h004372,2,제주특별자치도 제주시 우도면 우도봉길 47,제주특별자치도,제주시,우도면,아이스크림연구소카페,http://place.map.kakao.com/26885574,음식점
3,3,4,h004372_81662,126.9675066,33.4976582,2023-08-29 15:04:00,h_h004372,2,제주특별자치도 제주시 우도면 연평리 317-13,제주특별자치도,제주시,우도면 연평리,지미스,http://place.map.kakao.com/25551224,음식점
4,4,5,h004372_81662,126.9269324,33.4328229,2023-08-29 16:49:00,h_h004372,2,제주특별자치도 서귀포시 성산읍 고성리 127-3,제주특별자치도,서귀포시,성산읍 고성리,아쿠아플라넷제주 마린사이언스,http://place.map.kakao.com/23121320,문화시설
5,5,6,h004372_81662,126.9272716,33.4329442,2023-08-29 17:51:00,h_h004372,2,제주특별자치도 서귀포시 성산읍 섭지코지로 95,제주특별자치도,서귀포시,성산읍,아쿠아플라넷 제주,http://place.map.kakao.com/23150855,문화시설
6,6,7,h004372_81662,126.9018638,33.4741729,2023-08-29 19:03:00,h_h004372,2,제주특별자치도 서귀포시 성산읍 시흥리 845,제주특별자치도,서귀포시,성산읍 시흥리,UMMM,http://place.map.kakao.com/2588273,음식점
7,7,8,h004372_81662,126.9005194,33.4740323,2023-08-29 19:37:00,h_h004372,2,제주특별자치도 서귀포시 성산읍 시흥리 2644-17,제주특별자치도,서귀포시,성산읍 시흥리,이서방흑돼지,http://place.map.kakao.com/1163416283,음식점
8,8,9,h004372_81662,126.9142202,33.445884,2023-08-30 11:27:00,h_h004372,3,제주특별자치도 서귀포시 성산읍 고성리 1000-1,제주특별자치도,서귀포시,성산읍 고성리,국빈관 제주성산점,http://place.map.kakao.com/74002040,음식점
9,9,10,h004372_81662,126.4875744,33.4509614,2023-08-30 15:39:00,h_h004372,3,제주특별자치도 제주시 1100로 2894-63,제주특별자치도,제주시,,신비의도로,http://place.map.kakao.com/7973783,관광명소
10,10,11,h004372_81662,126.9122989,33.4503636,2023-08-30 18:39:00,h_h004372,3,제주특별자치도 서귀포시 성산읍 고성리 1132-26,제주특별자치도,서귀포시,성산읍 고성리,예담떡집,http://place.map.kakao.com/9884992,음식점
11,11,12,h004372_81662,126.897814,33.4075285,2023-08-30 19:02:00,h_h004372,3,제주특별자치도 서귀포시 성산읍 온평리 1559-1,제주특별자치도,서귀포시,성산읍 온평리,옛날국수집,http://place.map.kakao.com/112426210,음식점
12,12,13,h004372_81662,126.8855543,33.386828,2023-08-30 21:18:00,h_h004372,3,제주특별자치도 서귀포시 성산읍 일주동로 4995,제주특별자치도,서귀포시,성산읍,제주 하나리조트,http://place.map.kakao.com/1234629860,숙박
13,13,14,h004372_81662,126.8842044,33.3871783,2023-08-31 09:40:00,h_h004372,4,제주특별자치도 서귀포시 성산읍 신산리 1978,제주특별자치도,서귀포시,성산읍 신산리,카페쿠리,http://place.map.kakao.com/1489381636,카페
14,14,15,h004372_81662,126.667138,33.447295,2023-08-31 13:19:00,h_h004372,4,제주특별자치도 제주시 조천읍 남조로 1982,제주특별자치도,제주시,조천읍,에코랜드 테마파크,http://place.map.kakao.com/17184223,관광명소
15,15,16,h004372_81662,126.4931422,33.4882426,2023-08-31 19:08:00,h_h004372,4,제주특별자치도 제주시 연동 282-37,제주특별자치도,제주시,연동,오월수산장어집,http://place.map.kakao.com/9949928,음식점
16,16,17,h004372_81662,126.4917933,33.4846621,2023-08-31 20:53:00,h_h004372,4,제주특별자치도 제주시 연동 274-64,제주특별자치도,제주시,연동,자리돔전문점,http://place.map.kakao.com/14100914,음식점
17,17,18,h004372_81662,126.4906445,33.4842846,2023-08-31 22:06:00,h_h004372,4,제주특별자치도 제주시 연동 274,제주특별자치도,제주시,연동,돈떵이,http://place.map.kakao.com/17813399,음식점
18,18,19,h004372_81662,126.4912233,33.4835601,2023-08-31 23:50:00,h_h004372,4,제주특별자치도 제주시 신대로20길 49,제주특별자치도,제주시,,화로구이 소,http://place.map.kakao.com/2143665142,음식점
