,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT
0,0,1,h005367_95378,126.5199347,33.5115058,2023-09-05 06:29:00,h_h005367,1,제주특별자치도 제주시 삼도이동 1232,제주특별자치도,제주시,삼도이동,우진해장국,http://place.map.kakao.com/11547525,음식점
1,1,2,h005367_95378,126.2635783,33.3223433,2023-09-05 08:31:00,h_h005367,1,제주특별자치도 제주시 한경면 저지리 2848-2,제주특별자치도,제주시,한경면 저지리,담앙족욕카페,http://place.map.kakao.com/299502916,카페
2,2,3,h005367_95378,126.31609,33.4641917,2023-09-05 12:00:00,h_h005367,1,제주특별자치도 제주시 애월읍 애월리 2114-3,제주특별자치도,제주시,애월읍 애월리,우영담,http://place.map.kakao.com/26798389,음식점
3,3,4,h005367_95378,126.364825,33.47423,2023-09-05 15:49:00,h_h005367,1,제주특별자치도 제주시 애월읍 신엄안3길 19,제주특별자치도,제주시,애월읍,브릭하우스 LP카페,http://place.map.kakao.com/949911154,카페
4,4,5,h005367_95378,126.3642167,33.474025,2023-09-05 18:48:00,h_h005367,1,제주특별자치도 제주시 애월읍 신엄리 2650-1,제주특별자치도,제주시,애월읍 신엄리,제주혼디펜션,http://place.map.kakao.com/334099251,숙박
5,5,6,h005367_95378,126.3683436,33.4778765,2023-09-05 19:05:00,h_h005367,1,제주특별자치도 제주시 애월읍 애월해안로 608,제주특별자치도,제주시,애월읍,애월해안도로,http://place.map.kakao.com/11889968,관광명소
6,6,7,h005367_95378,126.3648749,33.4744517,2023-09-06 08:47:00,h_h005367,2,제주특별자치도 제주시 애월읍 신엄리 2661-1,제주특별자치도,제주시,애월읍 신엄리,커피 커뮤니티,http://place.map.kakao.com/99061592,카페
7,7,8,h005367_95378,126.5277169,33.5123094,2023-09-06 14:48:00,h_h005367,2,제주특별자치도 제주시 일도일동 1491-1,제주특별자치도,제주시,일도일동,진아떡집,http://place.map.kakao.com/10777503,음식점
8,8,9,h005367_95378,126.5266158,33.5120566,2023-09-06 15:06:00,h_h005367,2,제주특별자치도 제주시 일도일동 1481-9,제주특별자치도,제주시,일도일동,동문올레수산,http://place.map.kakao.com/1994899330,음식점
9,9,10,h005367_95378,126.527235,33.51297,2023-09-06 15:41:00,h_h005367,2,제주특별자치도 제주시 일도일동 1145-30,제주특별자치도,제주시,일도일동,제라헌 본점,http://place.map.kakao.com/899155913,음식점
